word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
's,1.0,7.0,8216.0,171337.0,1.21714,0.40855,2.97915,0.33567,8.0,179553.0,0.44555,GuilhermeBoulos
abandonado,3.0,1.0,8216.0,171337.0,3.65141,0.05836,62.5622,0.01598,4.0,179553.0,0.22278,GuilhermeBoulos
abandonar,1.0,2.0,8216.0,171337.0,1.21714,0.11673,10.42703,0.0959,3.0,179553.0,0.16708,GuilhermeBoulos
abc,5.0,7.0,8216.0,171337.0,6.08569,0.40855,14.89576,0.06713,12.0,179553.0,0.66833,GuilhermeBoulos
abertas,1.0,15.0,8216.0,171337.0,1.21714,0.87547,1.39027,0.71928,16.0,179553.0,0.8911,GuilhermeBoulos
aberto,1.0,18.0,8216.0,171337.0,1.21714,1.05056,1.15856,0.86314,19.0,179553.0,1.05818,GuilhermeBoulos
abertura,2.0,58.0,8216.0,171337.0,2.43427,3.38514,0.71911,1.39062,60.0,179553.0,3.34163,GuilhermeBoulos
aborto,1.0,10.0,8216.0,171337.0,1.21714,0.58365,2.08541,0.47952,11.0,179553.0,0.61263,GuilhermeBoulos
abraço,2.0,158.0,8216.0,171337.0,2.43427,9.22159,0.26398,3.78823,160.0,179553.0,8.91102,GuilhermeBoulos
abraços,1.0,53.0,8216.0,171337.0,1.21714,3.09332,0.39347,2.54147,54.0,179553.0,3.00747,GuilhermeBoulos
abre,1.0,15.0,8216.0,171337.0,1.21714,0.87547,1.39027,0.71928,16.0,179553.0,0.8911,GuilhermeBoulos
abril,3.0,35.0,8216.0,171337.0,3.65141,2.04276,1.78749,0.55944,38.0,179553.0,2.11637,GuilhermeBoulos
abrir,1.0,39.0,8216.0,171337.0,1.21714,2.27622,0.53472,1.87014,40.0,179553.0,2.22775,GuilhermeBoulos
absurda,2.0,7.0,8216.0,171337.0,2.43427,0.40855,5.9583,0.16783,9.0,179553.0,0.50124,GuilhermeBoulos
absurdo,11.0,47.0,8216.0,171337.0,13.38851,2.74313,4.88074,0.20489,58.0,179553.0,3.23024,GuilhermeBoulos
abusivos,1.0,1.0,8216.0,171337.0,1.21714,0.05836,20.85407,0.04795,2.0,179553.0,0.11139,GuilhermeBoulos
abuso,1.0,7.0,8216.0,171337.0,1.21714,0.40855,2.97915,0.33567,8.0,179553.0,0.44555,GuilhermeBoulos
abusos,2.0,9.0,8216.0,171337.0,2.43427,0.52528,4.63424,0.21579,11.0,179553.0,0.61263,GuilhermeBoulos
acaba,5.0,116.0,8216.0,171337.0,6.08569,6.77028,0.89888,1.11249,121.0,179553.0,6.73896,GuilhermeBoulos
acabam,2.0,11.0,8216.0,171337.0,2.43427,0.64201,3.79165,0.26374,13.0,179553.0,0.72402,GuilhermeBoulos
acabar,11.0,130.0,8216.0,171337.0,13.38851,7.58739,1.76457,0.56671,141.0,179553.0,7.85283,GuilhermeBoulos
acabo,3.0,14.0,8216.0,171337.0,3.65141,0.8171,4.46873,0.22378,17.0,179553.0,0.9468,GuilhermeBoulos
acabou,3.0,25.0,8216.0,171337.0,3.65141,1.45911,2.50249,0.3996,28.0,179553.0,1.55943,GuilhermeBoulos
