word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
's,1.0,7.0,2697.0,176856.0,3.70782,0.3958,9.36787,0.10675,8.0,179553.0,0.44555,Haddad_Fernando
abandona,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
abandonado,1.0,3.0,2697.0,176856.0,3.70782,0.16963,21.85836,0.04575,4.0,179553.0,0.22278,Haddad_Fernando
aberta,3.0,5.0,2697.0,176856.0,11.12347,0.28272,39.34505,0.02542,8.0,179553.0,0.44555,Haddad_Fernando
abertura,1.0,59.0,2697.0,176856.0,3.70782,3.33605,1.11144,0.89973,60.0,179553.0,3.34163,Haddad_Fernando
abismo,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
abra,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
abraço,2.0,158.0,2697.0,176856.0,7.41565,8.93382,0.83006,1.20473,160.0,179553.0,8.91102,Haddad_Fernando
abre,1.0,15.0,2697.0,176856.0,3.70782,0.84815,4.37167,0.22875,16.0,179553.0,0.8911,Haddad_Fernando
abriu,1.0,7.0,2697.0,176856.0,3.70782,0.3958,9.36787,0.10675,8.0,179553.0,0.44555,Haddad_Fernando
absoluta,1.0,7.0,2697.0,176856.0,3.70782,0.3958,9.36787,0.10675,8.0,179553.0,0.44555,Haddad_Fernando
acaba,1.0,120.0,2697.0,176856.0,3.70782,6.78518,0.54646,1.82996,121.0,179553.0,6.73896,Haddad_Fernando
acertadas,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
acerto,1.0,2.0,2697.0,176856.0,3.70782,0.11309,32.78754,0.0305,3.0,179553.0,0.16708,Haddad_Fernando
acesso,5.0,73.0,2697.0,176856.0,18.53912,4.12765,4.49144,0.22265,78.0,179553.0,4.34412,Haddad_Fernando
achei,1.0,9.0,2697.0,176856.0,3.70782,0.50889,7.28612,0.13725,10.0,179553.0,0.55694,Haddad_Fernando
acho,1.0,73.0,2697.0,176856.0,3.70782,4.12765,0.89829,1.11323,74.0,179553.0,4.12135,Haddad_Fernando
acidentes,2.0,18.0,2697.0,176856.0,7.41565,1.01778,7.28612,0.13725,20.0,179553.0,1.11388,Haddad_Fernando
acionar,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
acontecido,1.0,2.0,2697.0,176856.0,3.70782,0.11309,32.78754,0.0305,3.0,179553.0,0.16708,Haddad_Fernando
acumula,1.0,3.0,2697.0,176856.0,3.70782,0.16963,21.85836,0.04575,4.0,179553.0,0.22278,Haddad_Fernando
acusado,1.0,5.0,2697.0,176856.0,3.70782,0.28272,13.11502,0.07625,6.0,179553.0,0.33416,Haddad_Fernando
adesão,1.0,8.0,2697.0,176856.0,3.70782,0.45235,8.19689,0.122,9.0,179553.0,0.50124,Haddad_Fernando
adivinha,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
admite,1.0,6.0,2697.0,176856.0,3.70782,0.33926,10.92918,0.0915,7.0,179553.0,0.38986,Haddad_Fernando
admitir,1.0,5.0,2697.0,176856.0,3.70782,0.28272,13.11502,0.07625,6.0,179553.0,0.33416,Haddad_Fernando
adotará,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
afeta,1.0,7.0,2697.0,176856.0,3.70782,0.3958,9.36787,0.10675,8.0,179553.0,0.44555,Haddad_Fernando
afetados,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
afirma,1.0,41.0,2697.0,176856.0,3.70782,2.31827,1.59939,0.62524,42.0,179553.0,2.33914,Haddad_Fernando
africano,1.0,3.0,2697.0,176856.0,3.70782,0.16963,21.85836,0.04575,4.0,179553.0,0.22278,Haddad_Fernando
afronta,1.0,6.0,2697.0,176856.0,3.70782,0.33926,10.92918,0.0915,7.0,179553.0,0.38986,Haddad_Fernando
agir,1.0,8.0,2697.0,176856.0,3.70782,0.45235,8.19689,0.122,9.0,179553.0,0.50124,Haddad_Fernando
agora,4.0,564.0,2697.0,176856.0,14.83129,31.89035,0.46507,2.15021,568.0,179553.0,31.63411,Haddad_Fernando
agradecido,1.0,1.0,2697.0,176856.0,3.70782,0.05654,65.57508,0.01525,2.0,179553.0,0.11139,Haddad_Fernando
agradeço,1.0,97.0,2697.0,176856.0,3.70782,5.48469,0.67603,1.47922,98.0,179553.0,5.458,Haddad_Fernando
agência,1.0,18.0,2697.0,176856.0,3.70782,1.01778,3.64306,0.27449,19.0,179553.0,1.05818,Haddad_Fernando
ainda,4.0,373.0,2697.0,176856.0,14.83129,21.0906,0.70322,1.42203,377.0,179553.0,20.99659,Haddad_Fernando
ajuda,1.0,34.0,2697.0,176856.0,3.70782,1.92247,1.92868,0.51849,35.0,179553.0,1.94929,Haddad_Fernando
alckmin,3.0,27.0,2697.0,176856.0,11.12347,1.52667,7.28612,0.13725,30.0,179553.0,1.67082,Haddad_Fernando
alegria,1.0,35.0,2697.0,176856.0,3.70782,1.97901,1.87357,0.53374,36.0,179553.0,2.00498,Haddad_Fernando
alemanha,1.0,4.0,2697.0,176856.0,3.70782,0.22617,16.39377,0.061,5.0,179553.0,0.27847,Haddad_Fernando
alexandre,1.0,12.0,2697.0,176856.0,3.70782,0.67852,5.46459,0.183,13.0,179553.0,0.72402,Haddad_Fernando
algo,1.0,43.0,2697.0,176856.0,3.70782,2.43136,1.525,0.65574,44.0,179553.0,2.45053,Haddad_Fernando
alguém,3.0,82.0,2697.0,176856.0,11.12347,4.63654,2.39909,0.41682,85.0,179553.0,4.73398,Haddad_Fernando
alimentar,1.0,11.0,2697.0,176856.0,3.70782,0.62197,5.96137,0.16775,12.0,179553.0,0.66833,Haddad_Fernando
alta,1.0,49.0,2697.0,176856.0,3.70782,2.77062,1.33827,0.74724,50.0,179553.0,2.78469,Haddad_Fernando
altera,1.0,4.0,2697.0,176856.0,3.70782,0.22617,16.39377,0.061,5.0,179553.0,0.27847,Haddad_Fernando
altura,1.0,7.0,2697.0,176856.0,3.70782,0.3958,9.36787,0.10675,8.0,179553.0,0.44555,Haddad_Fernando
alunos,1.0,57.0,2697.0,176856.0,3.70782,3.22296,1.15044,0.86923,58.0,179553.0,3.23024,Haddad_Fernando
alvará,1.0,2.0,2697.0,176856.0,3.70782,0.11309,32.78754,0.0305,3.0,179553.0,0.16708,Haddad_Fernando
amador,1.0,2.0,2697.0,176856.0,3.70782,0.11309,32.78754,0.0305,3.0,179553.0,0.16708,Haddad_Fernando
amanhã,1.0,107.0,2697.0,176856.0,3.70782,6.05012,0.61285,1.63172,108.0,179553.0,6.01494,Haddad_Fernando
ambientais,1.0,8.0,2697.0,176856.0,3.70782,0.45235,8.19689,0.122,9.0,179553.0,0.50124,Haddad_Fernando
ambiental,1.0,10.0,2697.0,176856.0,3.70782,0.56543,6.55751,0.1525,11.0,179553.0,0.61263,Haddad_Fernando
ambos,1.0,9.0,2697.0,176856.0,3.70782,0.50889,7.28612,0.13725,10.0,179553.0,0.55694,Haddad_Fernando
