word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
's,2.0,6.0,19750.0,159803.0,1.01266,0.37546,2.6971,0.37077,8.0,179553.0,0.44555,ManuelaDavila
abaixo,7.0,27.0,19750.0,159803.0,3.5443,1.68958,2.09774,0.4767,34.0,179553.0,1.89359,ManuelaDavila
abandona,1.0,1.0,19750.0,159803.0,0.50633,0.06258,8.09129,0.12359,2.0,179553.0,0.11139,ManuelaDavila
abandonou,1.0,1.0,19750.0,159803.0,0.50633,0.06258,8.09129,0.12359,2.0,179553.0,0.11139,ManuelaDavila
aberto,1.0,18.0,19750.0,159803.0,0.50633,1.12639,0.44952,2.22461,19.0,179553.0,1.05818,ManuelaDavila
abertos,1.0,5.0,19750.0,159803.0,0.50633,0.31289,1.61826,0.61795,6.0,179553.0,0.33416,ManuelaDavila
abertura,1.0,59.0,19750.0,159803.0,0.50633,3.69205,0.13714,7.29179,60.0,179553.0,3.34163,ManuelaDavila
aborto,2.0,9.0,19750.0,159803.0,1.01266,0.56319,1.79806,0.55615,11.0,179553.0,0.61263,ManuelaDavila
abraço,9.0,151.0,19750.0,159803.0,4.55696,9.44913,0.48226,2.07356,160.0,179553.0,8.91102,ManuelaDavila
abre,2.0,14.0,19750.0,159803.0,1.01266,0.87608,1.1559,0.86513,16.0,179553.0,0.8911,ManuelaDavila
abrigar,1.0,3.0,19750.0,159803.0,0.50633,0.18773,2.6971,0.37077,4.0,179553.0,0.22278,ManuelaDavila
abril,8.0,30.0,19750.0,159803.0,4.05063,1.87731,2.15768,0.46346,38.0,179553.0,2.11637,ManuelaDavila
abrindo,1.0,7.0,19750.0,159803.0,0.50633,0.43804,1.1559,0.86513,8.0,179553.0,0.44555,ManuelaDavila
abrir,2.0,38.0,19750.0,159803.0,1.01266,2.37793,0.42586,2.3482,40.0,179553.0,2.22775,ManuelaDavila
abrirem,1.0,1.0,19750.0,159803.0,0.50633,0.06258,8.09129,0.12359,2.0,179553.0,0.11139,ManuelaDavila
abro,1.0,12.0,19750.0,159803.0,0.50633,0.75092,0.67427,1.48308,13.0,179553.0,0.72402,ManuelaDavila
absolutamente,1.0,3.0,19750.0,159803.0,0.50633,0.18773,2.6971,0.37077,4.0,179553.0,0.22278,ManuelaDavila
absurda,2.0,7.0,19750.0,159803.0,1.01266,0.43804,2.3118,0.43256,9.0,179553.0,0.50124,ManuelaDavila
absurdo,5.0,53.0,19750.0,159803.0,2.53165,3.31658,0.76333,1.31005,58.0,179553.0,3.23024,ManuelaDavila
acaba,4.0,117.0,19750.0,159803.0,2.02532,7.32151,0.27663,3.615,121.0,179553.0,6.73896,ManuelaDavila
acabam,2.0,11.0,19750.0,159803.0,1.01266,0.68835,1.47114,0.67974,13.0,179553.0,0.72402,ManuelaDavila
acabamos,1.0,8.0,19750.0,159803.0,0.50633,0.50062,1.01141,0.98872,9.0,179553.0,0.50124,ManuelaDavila
acabando,1.0,12.0,19750.0,159803.0,0.50633,0.75092,0.67427,1.48308,13.0,179553.0,0.72402,ManuelaDavila
acabar,5.0,136.0,19750.0,159803.0,2.53165,8.51048,0.29747,3.36164,141.0,179553.0,7.85283,ManuelaDavila
acabaram,1.0,14.0,19750.0,159803.0,0.50633,0.87608,0.57795,1.73026,15.0,179553.0,0.83541,ManuelaDavila
acabo,3.0,14.0,19750.0,159803.0,1.51899,0.87608,1.73385,0.57675,17.0,179553.0,0.9468,ManuelaDavila
acabou,3.0,25.0,19750.0,159803.0,1.51899,1.56443,0.97095,1.02991,28.0,179553.0,1.55943,ManuelaDavila
academia,4.0,3.0,19750.0,159803.0,2.02532,0.18773,10.78839,0.09269,7.0,179553.0,0.38986,ManuelaDavila
acadêmico,3.0,2.0,19750.0,159803.0,1.51899,0.12515,12.13694,0.08239,5.0,179553.0,0.27847,ManuelaDavila
acadêmicos,1.0,1.0,19750.0,159803.0,0.50633,0.06258,8.09129,0.12359,2.0,179553.0,0.11139,ManuelaDavila
acampamento,5.0,34.0,19750.0,159803.0,2.53165,2.12762,1.1899,0.84041,39.0,179553.0,2.17206,ManuelaDavila
aceita,2.0,11.0,19750.0,159803.0,1.01266,0.68835,1.47114,0.67974,13.0,179553.0,0.72402,ManuelaDavila
aceitar,2.0,22.0,19750.0,159803.0,1.01266,1.3767,0.73557,1.35949,24.0,179553.0,1.33665,ManuelaDavila
aceitaremos,1.0,4.0,19750.0,159803.0,0.50633,0.25031,2.02282,0.49436,5.0,179553.0,0.27847,ManuelaDavila
aceitas,1.0,1.0,19750.0,159803.0,0.50633,0.06258,8.09129,0.12359,2.0,179553.0,0.11139,ManuelaDavila
aceito,1.0,13.0,19750.0,159803.0,0.50633,0.8135,0.62241,1.60667,14.0,179553.0,0.77971,ManuelaDavila
aceitável,1.0,1.0,19750.0,159803.0,0.50633,0.06258,8.09129,0.12359,2.0,179553.0,0.11139,ManuelaDavila
acelera,1.0,3.0,19750.0,159803.0,0.50633,0.18773,2.6971,0.37077,4.0,179553.0,0.22278,ManuelaDavila
acelerar,1.0,4.0,19750.0,159803.0,0.50633,0.25031,2.02282,0.49436,5.0,179553.0,0.27847,ManuelaDavila
acessar,1.0,2.0,19750.0,159803.0,0.50633,0.12515,4.04565,0.24718,3.0,179553.0,0.16708,ManuelaDavila
acesse,1.0,20.0,19750.0,159803.0,0.50633,1.25154,0.40456,2.47179,21.0,179553.0,1.16957,ManuelaDavila
acessibilidade,2.0,9.0,19750.0,159803.0,1.01266,0.56319,1.79806,0.55615,11.0,179553.0,0.61263,ManuelaDavila
acesso,4.0,74.0,19750.0,159803.0,2.02532,4.6307,0.43737,2.28641,78.0,179553.0,4.34412,ManuelaDavila
acha,5.0,50.0,19750.0,159803.0,2.53165,3.12885,0.80913,1.2359,55.0,179553.0,3.06316,ManuelaDavila
acham,2.0,39.0,19750.0,159803.0,1.01266,2.4405,0.41494,2.41,41.0,179553.0,2.28345,ManuelaDavila
achamos,1.0,2.0,19750.0,159803.0,0.50633,0.12515,4.04565,0.24718,3.0,179553.0,0.16708,ManuelaDavila
achando,1.0,6.0,19750.0,159803.0,0.50633,0.37546,1.34855,0.74154,7.0,179553.0,0.38986,ManuelaDavila
achar,3.0,13.0,19750.0,159803.0,1.51899,0.8135,1.86722,0.53556,16.0,179553.0,0.8911,ManuelaDavila
ache,1.0,2.0,19750.0,159803.0,0.50633,0.12515,4.04565,0.24718,3.0,179553.0,0.16708,ManuelaDavila
achei,5.0,5.0,19750.0,159803.0,2.53165,0.31289,8.09129,0.12359,10.0,179553.0,0.55694,ManuelaDavila
acho,12.0,62.0,19750.0,159803.0,6.07595,3.87978,1.56606,0.63855,74.0,179553.0,4.12135,ManuelaDavila
acolher,2.0,2.0,19750.0,159803.0,1.01266,0.12515,8.09129,0.12359,4.0,179553.0,0.22278,ManuelaDavila
acolheu,3.0,1.0,19750.0,159803.0,1.51899,0.06258,24.27387,0.0412,4.0,179553.0,0.22278,ManuelaDavila
acolhida,2.0,6.0,19750.0,159803.0,1.01266,0.37546,2.6971,0.37077,8.0,179553.0,0.44555,ManuelaDavila
acompanha,9.0,11.0,19750.0,159803.0,4.55696,0.68835,6.62015,0.15105,20.0,179553.0,1.11388,ManuelaDavila
acompanham,1.0,1.0,19750.0,159803.0,0.50633,0.06258,8.09129,0.12359,2.0,179553.0,0.11139,ManuelaDavila
acompanhando,4.0,6.0,19750.0,159803.0,2.02532,0.37546,5.39419,0.18538,10.0,179553.0,0.55694,ManuelaDavila
acompanhar,4.0,18.0,19750.0,159803.0,2.02532,1.12639,1.79806,0.55615,22.0,179553.0,1.22526,ManuelaDavila
acompanharam,2.0,2.0,19750.0,159803.0,1.01266,0.12515,8.09129,0.12359,4.0,179553.0,0.22278,ManuelaDavila
