word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
abaixo,1.0,33.0,11703.0,167850.0,0.85448,1.96604,0.43462,2.30086,34.0,179553.0,1.89359,MichelTemer
abandonados,1.0,1.0,11703.0,167850.0,0.85448,0.05958,14.34248,0.06972,2.0,179553.0,0.11139,MichelTemer
abastecimento,1.0,7.0,11703.0,167850.0,0.85448,0.41704,2.04893,0.48806,8.0,179553.0,0.44555,MichelTemer
abertas,1.0,15.0,11703.0,167850.0,0.85448,0.89366,0.95617,1.04584,16.0,179553.0,0.8911,MichelTemer
aberto,2.0,17.0,11703.0,167850.0,1.70896,1.01281,1.68735,0.59265,19.0,179553.0,1.05818,MichelTemer
abertos,1.0,5.0,11703.0,167850.0,0.85448,0.29789,2.8685,0.34861,6.0,179553.0,0.33416,MichelTemer
abertura,23.0,37.0,11703.0,167850.0,19.65308,2.20435,8.91559,0.11216,60.0,179553.0,3.34163,MichelTemer
abraço,1.0,159.0,11703.0,167850.0,0.85448,9.47274,0.0902,11.08595,160.0,179553.0,8.91102,MichelTemer
abre,2.0,14.0,11703.0,167850.0,1.70896,0.83408,2.04893,0.48806,16.0,179553.0,0.8911,MichelTemer
abreu,2.0,23.0,11703.0,167850.0,1.70896,1.37027,1.24717,0.80181,25.0,179553.0,1.39235,MichelTemer
abrimos,2.0,1.0,11703.0,167850.0,1.70896,0.05958,28.68495,0.03486,3.0,179553.0,0.16708,MichelTemer
abrindo,3.0,5.0,11703.0,167850.0,2.56345,0.29789,8.60549,0.1162,8.0,179553.0,0.44555,MichelTemer
abrir,3.0,37.0,11703.0,167850.0,2.56345,2.20435,1.1629,0.85992,40.0,179553.0,2.22775,MichelTemer
abriu,1.0,7.0,11703.0,167850.0,0.85448,0.41704,2.04893,0.48806,8.0,179553.0,0.44555,MichelTemer
absoluta,2.0,6.0,11703.0,167850.0,1.70896,0.35746,4.78083,0.20917,8.0,179553.0,0.44555,MichelTemer
abusos,1.0,10.0,11703.0,167850.0,0.85448,0.59577,1.43425,0.69723,11.0,179553.0,0.61263,MichelTemer
ac,1.0,1.0,11703.0,167850.0,0.85448,0.05958,14.34248,0.06972,2.0,179553.0,0.11139,MichelTemer
acaba,3.0,118.0,11703.0,167850.0,2.56345,7.03009,0.36464,2.74244,121.0,179553.0,6.73896,MichelTemer
acabado,1.0,12.0,11703.0,167850.0,0.85448,0.71492,1.19521,0.83668,13.0,179553.0,0.72402,MichelTemer
acabamos,3.0,6.0,11703.0,167850.0,2.56345,0.35746,7.17124,0.13945,9.0,179553.0,0.50124,MichelTemer
acabar,4.0,137.0,11703.0,167850.0,3.41793,8.16205,0.41876,2.38801,141.0,179553.0,7.85283,MichelTemer
acabei,7.0,10.0,11703.0,167850.0,5.98137,0.59577,10.03973,0.0996,17.0,179553.0,0.9468,MichelTemer
acabo,5.0,12.0,11703.0,167850.0,4.27241,0.71492,5.97603,0.16734,17.0,179553.0,0.9468,MichelTemer
acadêmica,2.0,1.0,11703.0,167850.0,1.70896,0.05958,28.68495,0.03486,3.0,179553.0,0.16708,MichelTemer
acaso,1.0,8.0,11703.0,167850.0,0.85448,0.47662,1.79281,0.55778,9.0,179553.0,0.50124,MichelTemer
aceitar,2.0,22.0,11703.0,167850.0,1.70896,1.31069,1.30386,0.76695,24.0,179553.0,1.33665,MichelTemer
acelera,1.0,3.0,11703.0,167850.0,0.85448,0.17873,4.78083,0.20917,4.0,179553.0,0.22278,MichelTemer
acelerado,1.0,1.0,11703.0,167850.0,0.85448,0.05958,14.34248,0.06972,2.0,179553.0,0.11139,MichelTemer
acertamos,2.0,1.0,11703.0,167850.0,1.70896,0.05958,28.68495,0.03486,3.0,179553.0,0.16708,MichelTemer
acessar,1.0,2.0,11703.0,167850.0,0.85448,0.11915,7.17124,0.13945,3.0,179553.0,0.16708,MichelTemer
acesse,1.0,20.0,11703.0,167850.0,0.85448,1.19154,0.71712,1.39446,21.0,179553.0,1.16957,MichelTemer
acessibilidade,1.0,10.0,11703.0,167850.0,0.85448,0.59577,1.43425,0.69723,11.0,179553.0,0.61263,MichelTemer
acesso,9.0,69.0,11703.0,167850.0,7.69034,4.11081,1.87076,0.53454,78.0,179553.0,4.34412,MichelTemer
acidente,1.0,5.0,11703.0,167850.0,0.85448,0.29789,2.8685,0.34861,6.0,179553.0,0.33416,MichelTemer
acima,1.0,61.0,11703.0,167850.0,0.85448,3.6342,0.23512,4.2531,62.0,179553.0,3.45302,MichelTemer
acolher,2.0,2.0,11703.0,167850.0,1.70896,0.11915,14.34248,0.06972,4.0,179553.0,0.22278,MichelTemer
acolhida,1.0,7.0,11703.0,167850.0,0.85448,0.41704,2.04893,0.48806,8.0,179553.0,0.44555,MichelTemer
acompanhado,1.0,10.0,11703.0,167850.0,0.85448,0.59577,1.43425,0.69723,11.0,179553.0,0.61263,MichelTemer
acompanhando,1.0,9.0,11703.0,167850.0,0.85448,0.53619,1.59361,0.62751,10.0,179553.0,0.55694,MichelTemer
acompanhar,2.0,20.0,11703.0,167850.0,1.70896,1.19154,1.43425,0.69723,22.0,179553.0,1.22526,MichelTemer
acompanhe,21.0,168.0,11703.0,167850.0,17.94412,10.00894,1.79281,0.55778,189.0,179553.0,10.52614,MichelTemer
acompanho,1.0,3.0,11703.0,167850.0,0.85448,0.17873,4.78083,0.20917,4.0,179553.0,0.22278,MichelTemer
acontece,1.0,31.0,11703.0,167850.0,0.85448,1.84689,0.46266,2.16141,32.0,179553.0,1.7822,MichelTemer
acontecendo,1.0,29.0,11703.0,167850.0,0.85448,1.72773,0.49457,2.02197,30.0,179553.0,1.67082,MichelTemer
acontecer,2.0,20.0,11703.0,167850.0,1.70896,1.19154,1.43425,0.69723,22.0,179553.0,1.22526,MichelTemer
aconteceu,1.0,32.0,11703.0,167850.0,0.85448,1.90646,0.4482,2.23113,33.0,179553.0,1.8379,MichelTemer
acordo,15.0,47.0,11703.0,167850.0,12.81723,2.80012,4.57739,0.21847,62.0,179553.0,3.45302,MichelTemer
acordos,3.0,4.0,11703.0,167850.0,2.56345,0.23831,10.75686,0.09296,7.0,179553.0,0.38986,MichelTemer
acredito,1.0,70.0,11703.0,167850.0,0.85448,4.17039,0.20489,4.88061,71.0,179553.0,3.95426,MichelTemer
acrescentar,1.0,1.0,11703.0,167850.0,0.85448,0.05958,14.34248,0.06972,2.0,179553.0,0.11139,MichelTemer
acumulado,1.0,2.0,11703.0,167850.0,0.85448,0.11915,7.17124,0.13945,3.0,179553.0,0.16708,MichelTemer
acumulou,1.0,1.0,11703.0,167850.0,0.85448,0.05958,14.34248,0.06972,2.0,179553.0,0.11139,MichelTemer
adesão,2.0,7.0,11703.0,167850.0,1.70896,0.41704,4.09785,0.24403,9.0,179553.0,0.50124,MichelTemer
adiante,8.0,14.0,11703.0,167850.0,6.83585,0.83408,8.1957,0.12202,22.0,179553.0,1.22526,MichelTemer
adicional,1.0,2.0,11703.0,167850.0,0.85448,0.11915,7.17124,0.13945,3.0,179553.0,0.16708,MichelTemer
administração,1.0,22.0,11703.0,167850.0,0.85448,1.31069,0.65193,1.53391,23.0,179553.0,1.28096,MichelTemer
admiração,1.0,2.0,11703.0,167850.0,0.85448,0.11915,7.17124,0.13945,3.0,179553.0,0.16708,MichelTemer
adolescentes,1.0,6.0,11703.0,167850.0,0.85448,0.35746,2.39041,0.41834,7.0,179553.0,0.38986,MichelTemer
adotada,1.0,2.0,11703.0,167850.0,0.85448,0.11915,7.17124,0.13945,3.0,179553.0,0.16708,MichelTemer
adotamos,2.0,4.0,11703.0,167850.0,1.70896,0.23831,7.17124,0.13945,6.0,179553.0,0.33416,MichelTemer
adotará,1.0,1.0,11703.0,167850.0,0.85448,0.05958,14.34248,0.06972,2.0,179553.0,0.11139,MichelTemer
adultos,1.0,5.0,11703.0,167850.0,0.85448,0.29789,2.8685,0.34861,6.0,179553.0,0.33416,MichelTemer
advocacia,5.0,2.0,11703.0,167850.0,4.27241,0.11915,35.85619,0.02789,7.0,179553.0,0.38986,MichelTemer
advogado,1.0,20.0,11703.0,167850.0,0.85448,1.19154,0.71712,1.39446,21.0,179553.0,1.16957,MichelTemer
aeronáutica,2.0,2.0,11703.0,167850.0,1.70896,0.11915,14.34248,0.06972,4.0,179553.0,0.22278,MichelTemer
aeroporto,3.0,44.0,11703.0,167850.0,2.56345,2.62139,0.9779,1.0226,47.0,179553.0,2.61761,MichelTemer
afetados,1.0,1.0,11703.0,167850.0,0.85448,0.05958,14.34248,0.06972,2.0,179553.0,0.11139,MichelTemer
afinal,1.0,10.0,11703.0,167850.0,0.85448,0.59577,1.43425,0.69723,11.0,179553.0,0.61263,MichelTemer
afirma,1.0,41.0,11703.0,167850.0,0.85448,2.44266,0.34982,2.85864,42.0,179553.0,2.33914,MichelTemer
afirmam,1.0,5.0,11703.0,167850.0,0.85448,0.29789,2.8685,0.34861,6.0,179553.0,0.33416,MichelTemer
