word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
aberto,1.0,18.0,596.0,178957.0,16.77852,1.00583,16.6813,0.05995,19.0,179553.0,1.05818,RodrigoMaia
abertura,1.0,59.0,596.0,178957.0,16.77852,3.29688,5.08921,0.19649,60.0,179553.0,3.34163,RodrigoMaia
abril,1.0,37.0,596.0,178957.0,16.77852,2.06754,8.11523,0.12323,38.0,179553.0,2.11637,RodrigoMaia
absurdos,1.0,5.0,596.0,178957.0,16.77852,0.2794,60.05268,0.01665,6.0,179553.0,0.33416,RodrigoMaia
acabar,1.0,140.0,596.0,178957.0,16.77852,7.82311,2.14474,0.46626,141.0,179553.0,7.85283,RodrigoMaia
acabei,1.0,16.0,596.0,178957.0,16.77852,0.89407,18.76646,0.05329,17.0,179553.0,0.9468,RodrigoMaia
aceito,1.0,13.0,596.0,178957.0,16.77852,0.72643,23.09719,0.0433,14.0,179553.0,0.77971,RodrigoMaia
acompanhamos,1.0,1.0,596.0,178957.0,16.77852,0.05588,300.26342,0.00333,2.0,179553.0,0.11139,RodrigoMaia
acompanhar,1.0,21.0,596.0,178957.0,16.77852,1.17347,14.29826,0.06994,22.0,179553.0,1.22526,RodrigoMaia
aconteceu,1.0,32.0,596.0,178957.0,16.77852,1.78814,9.38323,0.10657,33.0,179553.0,1.8379,RodrigoMaia
adiar,1.0,1.0,596.0,178957.0,16.77852,0.05588,300.26342,0.00333,2.0,179553.0,0.11139,RodrigoMaia
admite,1.0,6.0,596.0,178957.0,16.77852,0.33528,50.0439,0.01998,7.0,179553.0,0.38986,RodrigoMaia
agenda,2.0,70.0,596.0,178957.0,33.55705,3.91155,8.57895,0.11656,72.0,179553.0,4.00996,RodrigoMaia
aguardar,1.0,4.0,596.0,178957.0,16.77852,0.22352,75.06586,0.01332,5.0,179553.0,0.27847,RodrigoMaia
ajuste,1.0,8.0,596.0,178957.0,16.77852,0.44703,37.53293,0.02664,9.0,179553.0,0.50124,RodrigoMaia
alguns,1.0,95.0,596.0,178957.0,16.77852,5.30854,3.16067,0.31639,96.0,179553.0,5.34661,RodrigoMaia
almoço,1.0,25.0,596.0,178957.0,16.77852,1.39698,12.01054,0.08326,26.0,179553.0,1.44804,RodrigoMaia
ambiental,1.0,10.0,596.0,178957.0,16.77852,0.55879,30.02634,0.0333,11.0,179553.0,0.61263,RodrigoMaia
ambiente,2.0,46.0,596.0,178957.0,33.55705,2.57045,13.05493,0.0766,48.0,179553.0,2.67331,RodrigoMaia
amigo,1.0,66.0,596.0,178957.0,16.77852,3.68804,4.54945,0.21981,67.0,179553.0,3.73149,RodrigoMaia
amigos,2.0,98.0,596.0,178957.0,33.55705,5.47618,6.12782,0.16319,100.0,179553.0,5.56939,RodrigoMaia
ana,1.0,17.0,596.0,178957.0,16.77852,0.94995,17.66255,0.05662,18.0,179553.0,1.00249,RodrigoMaia
analisar,1.0,12.0,596.0,178957.0,16.77852,0.67055,25.02195,0.03996,13.0,179553.0,0.72402,RodrigoMaia
anos,2.0,564.0,596.0,178957.0,33.55705,31.51595,1.06476,0.93918,566.0,179553.0,31.52273,RodrigoMaia
apenas,2.0,222.0,596.0,178957.0,33.55705,12.40521,2.70508,0.36968,224.0,179553.0,12.47543,RodrigoMaia
aperfeiçoamento,1.0,1.0,596.0,178957.0,16.77852,0.05588,300.26342,0.00333,2.0,179553.0,0.11139,RodrigoMaia
apoiei,1.0,1.0,596.0,178957.0,16.77852,0.05588,300.26342,0.00333,2.0,179553.0,0.11139,RodrigoMaia
apoio,1.0,293.0,596.0,178957.0,16.77852,16.37265,1.02479,0.97581,294.0,179553.0,16.374,RodrigoMaia
aposentado,1.0,8.0,596.0,178957.0,16.77852,0.44703,37.53293,0.02664,9.0,179553.0,0.50124,RodrigoMaia
aposentadorias,1.0,9.0,596.0,178957.0,16.77852,0.50291,33.3626,0.02997,10.0,179553.0,0.55694,RodrigoMaia
apresentar,1.0,38.0,596.0,178957.0,16.77852,2.12342,7.90167,0.12656,39.0,179553.0,2.17206,RodrigoMaia
aprovado,1.0,34.0,596.0,178957.0,16.77852,1.8999,8.83128,0.11323,35.0,179553.0,1.94929,RodrigoMaia
aprovamos,1.0,13.0,596.0,178957.0,16.77852,0.72643,23.09719,0.0433,14.0,179553.0,0.77971,RodrigoMaia
aprovar,2.0,60.0,596.0,178957.0,33.55705,3.35276,10.00878,0.09991,62.0,179553.0,3.45302,RodrigoMaia
aprovação,2.0,52.0,596.0,178957.0,33.55705,2.90573,11.54859,0.08659,54.0,179553.0,3.00747,RodrigoMaia
ar,1.0,30.0,596.0,178957.0,16.77852,1.67638,10.00878,0.09991,31.0,179553.0,1.72651,RodrigoMaia
arma,1.0,22.0,596.0,178957.0,16.77852,1.22935,13.64834,0.07327,23.0,179553.0,1.28096,RodrigoMaia
assinatura,1.0,9.0,596.0,178957.0,16.77852,0.50291,33.3626,0.02997,10.0,179553.0,0.55694,RodrigoMaia
assinei,1.0,19.0,596.0,178957.0,16.77852,1.06171,15.80334,0.06328,20.0,179553.0,1.11388,RodrigoMaia
assistir,1.0,18.0,596.0,178957.0,16.77852,1.00583,16.6813,0.05995,19.0,179553.0,1.05818,RodrigoMaia
associação,1.0,35.0,596.0,178957.0,16.77852,1.95578,8.57895,0.11656,36.0,179553.0,2.00498,RodrigoMaia
assumi,1.0,15.0,596.0,178957.0,16.77852,0.83819,20.01756,0.04996,16.0,179553.0,0.8911,RodrigoMaia
assumo,1.0,1.0,596.0,178957.0,16.77852,0.05588,300.26342,0.00333,2.0,179553.0,0.11139,RodrigoMaia
ataque,1.0,25.0,596.0,178957.0,16.77852,1.39698,12.01054,0.08326,26.0,179553.0,1.44804,RodrigoMaia
atingidos,1.0,9.0,596.0,178957.0,16.77852,0.50291,33.3626,0.02997,10.0,179553.0,0.55694,RodrigoMaia
ato,2.0,155.0,596.0,178957.0,33.55705,8.6613,3.87437,0.25811,157.0,179553.0,8.74394,RodrigoMaia
atrair,1.0,15.0,596.0,178957.0,16.77852,0.83819,20.01756,0.04996,16.0,179553.0,0.8911,RodrigoMaia
avançar,1.0,29.0,596.0,178957.0,16.77852,1.6205,10.35391,0.09658,30.0,179553.0,1.67082,RodrigoMaia
ações,1.0,71.0,596.0,178957.0,16.77852,3.96743,4.22906,0.23646,72.0,179553.0,4.00996,RodrigoMaia
bairros,1.0,8.0,596.0,178957.0,16.77852,0.44703,37.53293,0.02664,9.0,179553.0,0.50124,RodrigoMaia
bancada,1.0,21.0,596.0,178957.0,16.77852,1.17347,14.29826,0.06994,22.0,179553.0,1.22526,RodrigoMaia
band,1.0,35.0,596.0,178957.0,16.77852,1.95578,8.57895,0.11656,36.0,179553.0,2.00498,RodrigoMaia
barboza,1.0,1.0,596.0,178957.0,16.77852,0.05588,300.26342,0.00333,2.0,179553.0,0.11139,RodrigoMaia
barra,1.0,8.0,596.0,178957.0,16.77852,0.44703,37.53293,0.02664,9.0,179553.0,0.50124,RodrigoMaia
beneficiadas,1.0,3.0,596.0,178957.0,16.77852,0.16764,100.08781,0.00999,4.0,179553.0,0.22278,RodrigoMaia
bolsa,2.0,43.0,596.0,178957.0,33.55705,2.40281,13.96574,0.0716,45.0,179553.0,2.50622,RodrigoMaia
brasil,5.0,1882.0,596.0,178957.0,83.89262,105.16493,0.79772,1.25357,1887.0,179553.0,105.09432,RodrigoMaia
brasileira,1.0,232.0,596.0,178957.0,16.77852,12.96401,1.29424,0.77265,233.0,179553.0,12.97667,RodrigoMaia
brasileiro,3.0,314.0,596.0,178957.0,50.33557,17.54611,2.86876,0.34858,317.0,179553.0,17.65495,RodrigoMaia
brasília,1.0,100.0,596.0,178957.0,16.77852,5.58793,3.00263,0.33304,101.0,179553.0,5.62508,RodrigoMaia
café,2.0,18.0,596.0,178957.0,33.55705,1.00583,33.3626,0.02997,20.0,179553.0,1.11388,RodrigoMaia
