word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
's,1.0,7.0,39271.0,140282.0,0.25464,0.49899,0.51031,1.9596,8.0,179553.0,0.44555,alvarodias_
abaixo,16.0,18.0,39271.0,140282.0,4.07425,1.28313,3.17525,0.31494,34.0,179553.0,1.89359,alvarodias_
abandonar,1.0,2.0,39271.0,140282.0,0.25464,0.14257,1.78608,0.55989,3.0,179553.0,0.16708,alvarodias_
abandonou,1.0,1.0,39271.0,140282.0,0.25464,0.07128,3.57215,0.27994,2.0,179553.0,0.11139,alvarodias_
abastecer,1.0,1.0,39271.0,140282.0,0.25464,0.07128,3.57215,0.27994,2.0,179553.0,0.11139,alvarodias_
abastecimento,2.0,6.0,39271.0,140282.0,0.50928,0.42771,1.19072,0.83983,8.0,179553.0,0.44555,alvarodias_
abc,1.0,11.0,39271.0,140282.0,0.25464,0.78413,0.32474,3.07938,12.0,179553.0,0.66833,alvarodias_
abdicar,1.0,1.0,39271.0,140282.0,0.25464,0.07128,3.57215,0.27994,2.0,179553.0,0.11139,alvarodias_
abençoando,1.0,1.0,39271.0,140282.0,0.25464,0.07128,3.57215,0.27994,2.0,179553.0,0.11139,alvarodias_
abençoe,1.0,4.0,39271.0,140282.0,0.25464,0.28514,0.89304,1.11977,5.0,179553.0,0.27847,alvarodias_
aberta,4.0,4.0,39271.0,140282.0,1.01856,0.28514,3.57215,0.27994,8.0,179553.0,0.44555,alvarodias_
abertas,5.0,11.0,39271.0,140282.0,1.2732,0.78413,1.62371,0.61588,16.0,179553.0,0.8911,alvarodias_
aberto,5.0,14.0,39271.0,140282.0,1.2732,0.99799,1.27577,0.78384,19.0,179553.0,1.05818,alvarodias_
abertos,1.0,5.0,39271.0,140282.0,0.25464,0.35642,0.71443,1.39972,6.0,179553.0,0.33416,alvarodias_
abertura,5.0,55.0,39271.0,140282.0,1.2732,3.92067,0.32474,3.07938,60.0,179553.0,3.34163,alvarodias_
abra,1.0,1.0,39271.0,140282.0,0.25464,0.07128,3.57215,0.27994,2.0,179553.0,0.11139,alvarodias_
abrange,1.0,1.0,39271.0,140282.0,0.25464,0.07128,3.57215,0.27994,2.0,179553.0,0.11139,alvarodias_
abraço,44.0,116.0,39271.0,140282.0,11.2042,8.26906,1.35495,0.73803,160.0,179553.0,8.91102,alvarodias_
abraços,7.0,47.0,39271.0,140282.0,1.78249,3.35039,0.53202,1.87962,54.0,179553.0,3.00747,alvarodias_
abre,8.0,8.0,39271.0,140282.0,2.03713,0.57028,3.57215,0.27994,16.0,179553.0,0.8911,alvarodias_
abreu,21.0,4.0,39271.0,140282.0,5.34746,0.28514,18.7538,0.05332,25.0,179553.0,1.39235,alvarodias_
abrigar,3.0,1.0,39271.0,140282.0,0.76392,0.07128,10.71646,0.09331,4.0,179553.0,0.22278,alvarodias_
abril,11.0,27.0,39271.0,140282.0,2.80105,1.92469,1.45532,0.68713,38.0,179553.0,2.11637,alvarodias_
abrimos,1.0,2.0,39271.0,140282.0,0.25464,0.14257,1.78608,0.55989,3.0,179553.0,0.16708,alvarodias_
abrindo,1.0,7.0,39271.0,140282.0,0.25464,0.49899,0.51031,1.9596,8.0,179553.0,0.44555,alvarodias_
abrir,15.0,25.0,39271.0,140282.0,3.81961,1.78212,2.14329,0.46657,40.0,179553.0,2.22775,alvarodias_
abriu,6.0,2.0,39271.0,140282.0,1.52784,0.14257,10.71646,0.09331,8.0,179553.0,0.44555,alvarodias_
