word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
abraço,2.0,158.0,1758.0,177795.0,11.37656,8.88664,1.28019,0.78114,160.0,179553.0,8.91102,cirogomes
abreu,1.0,24.0,1758.0,177795.0,5.68828,1.34987,4.21395,0.23731,25.0,179553.0,1.39235,cirogomes
abril,1.0,37.0,1758.0,177795.0,5.68828,2.08105,2.73337,0.36585,38.0,179553.0,2.11637,cirogomes
absoluta,1.0,7.0,1758.0,177795.0,5.68828,0.39371,14.44783,0.06921,8.0,179553.0,0.44555,cirogomes
absurdo,1.0,57.0,1758.0,177795.0,5.68828,3.20594,1.77429,0.5636,58.0,179553.0,3.23024,cirogomes
academia,1.0,6.0,1758.0,177795.0,5.68828,0.33747,16.8558,0.05933,7.0,179553.0,0.38986,cirogomes
acaso,2.0,7.0,1758.0,177795.0,11.37656,0.39371,28.89566,0.03461,9.0,179553.0,0.50124,cirogomes
aceitar,1.0,23.0,1758.0,177795.0,5.68828,1.29362,4.39717,0.22742,24.0,179553.0,1.33665,cirogomes
acic,1.0,1.0,1758.0,177795.0,5.68828,0.05624,101.13481,0.00989,2.0,179553.0,0.11139,cirogomes
acompanhando,1.0,9.0,1758.0,177795.0,5.68828,0.5062,11.2372,0.08899,10.0,179553.0,0.55694,cirogomes
acompanhe,13.0,176.0,1758.0,177795.0,73.94767,9.89904,7.47018,0.13387,189.0,179553.0,10.52614,cirogomes
acompanhem,1.0,35.0,1758.0,177795.0,5.68828,1.96856,2.88957,0.34607,36.0,179553.0,2.00498,cirogomes
adultos,1.0,5.0,1758.0,177795.0,5.68828,0.28122,20.22696,0.04944,6.0,179553.0,0.33416,cirogomes
agenda,2.0,70.0,1758.0,177795.0,11.37656,3.93712,2.88957,0.34607,72.0,179553.0,4.00996,cirogomes
agora,5.0,563.0,1758.0,177795.0,28.44141,31.66568,0.89818,1.11337,568.0,179553.0,31.63411,cirogomes
agradável,1.0,4.0,1758.0,177795.0,5.68828,0.22498,25.2837,0.03955,5.0,179553.0,0.27847,cirogomes
ainda,2.0,375.0,1758.0,177795.0,11.37656,21.09171,0.53939,1.85396,377.0,179553.0,20.99659,cirogomes
ajuda,1.0,34.0,1758.0,177795.0,5.68828,1.91231,2.97455,0.33618,35.0,179553.0,1.94929,cirogomes
ajudam,1.0,7.0,1758.0,177795.0,5.68828,0.39371,14.44783,0.06921,8.0,179553.0,0.44555,cirogomes
ajudar,2.0,53.0,1758.0,177795.0,11.37656,2.98096,3.81641,0.26203,55.0,179553.0,3.06316,cirogomes
alegria,1.0,35.0,1758.0,177795.0,5.68828,1.96856,2.88957,0.34607,36.0,179553.0,2.00498,cirogomes
alencar,2.0,18.0,1758.0,177795.0,11.37656,1.0124,11.2372,0.08899,20.0,179553.0,1.11388,cirogomes
alertando,1.0,1.0,1758.0,177795.0,5.68828,0.05624,101.13481,0.00989,2.0,179553.0,0.11139,cirogomes
alertar,1.0,1.0,1758.0,177795.0,5.68828,0.05624,101.13481,0.00989,2.0,179553.0,0.11139,cirogomes
algumas,2.0,49.0,1758.0,177795.0,11.37656,2.75598,4.12795,0.24225,51.0,179553.0,2.84039,cirogomes
alguém,1.0,84.0,1758.0,177795.0,5.68828,4.72454,1.20399,0.83057,85.0,179553.0,4.73398,cirogomes
alto,2.0,24.0,1758.0,177795.0,11.37656,1.34987,8.4279,0.11865,26.0,179553.0,1.44804,cirogomes
além,3.0,129.0,1758.0,177795.0,17.06485,7.25555,2.35197,0.42518,132.0,179553.0,7.35159,cirogomes
amanhã,2.0,106.0,1758.0,177795.0,11.37656,5.96192,1.9082,0.52405,108.0,179553.0,6.01494,cirogomes
americana,2.0,13.0,1758.0,177795.0,11.37656,0.73118,15.5592,0.06427,15.0,179553.0,0.83541,cirogomes
amigo,2.0,65.0,1758.0,177795.0,11.37656,3.6559,3.11184,0.32135,67.0,179553.0,3.73149,cirogomes
amigos,2.0,98.0,1758.0,177795.0,11.37656,5.51197,2.06398,0.4845,100.0,179553.0,5.56939,cirogomes
