word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
abaixo,1.0,33.0,420.0,179133.0,23.80952,1.84221,12.92446,0.07737,34.0,179553.0,1.89359,collor
abastecimento,1.0,7.0,420.0,179133.0,23.80952,0.39077,60.92959,0.01641,8.0,179553.0,0.44555,collor
aberta,1.0,7.0,420.0,179133.0,23.80952,0.39077,60.92959,0.01641,8.0,179553.0,0.44555,collor
abraço,1.0,159.0,420.0,179133.0,23.80952,8.87609,2.68243,0.3728,160.0,179553.0,8.91102,collor
acompanha,1.0,19.0,420.0,179133.0,23.80952,1.06066,22.44774,0.04455,20.0,179553.0,1.11388,collor
acompanhada,1.0,2.0,420.0,179133.0,23.80952,0.11165,213.25357,0.00469,3.0,179553.0,0.16708,collor
acompanhado,1.0,10.0,420.0,179133.0,23.80952,0.55824,42.65071,0.02345,11.0,179553.0,0.61263,collor
acompanhe,1.0,188.0,420.0,179133.0,23.80952,10.495,2.26866,0.44079,189.0,179553.0,10.52614,collor
acordo,2.0,60.0,420.0,179133.0,47.61905,3.34947,14.2169,0.07034,62.0,179553.0,3.45302,collor
acordos,1.0,6.0,420.0,179133.0,23.80952,0.33495,71.08452,0.01407,7.0,179553.0,0.38986,collor
agenda,3.0,69.0,420.0,179133.0,71.42857,3.85189,18.54379,0.05393,72.0,179553.0,4.00996,collor
agricultura,1.0,44.0,420.0,179133.0,23.80952,2.45628,9.69334,0.10316,45.0,179553.0,2.50622,collor
agrário,1.0,1.0,420.0,179133.0,23.80952,0.05582,426.50714,0.00234,2.0,179553.0,0.11139,collor
al,1.0,2.0,420.0,179133.0,23.80952,0.11165,213.25357,0.00469,3.0,179553.0,0.16708,collor
alagoas,4.0,5.0,420.0,179133.0,95.2381,0.27912,341.20571,0.00293,9.0,179553.0,0.50124,collor
amigo,1.0,66.0,420.0,179133.0,23.80952,3.68441,6.46223,0.15475,67.0,179553.0,3.73149,collor
amigos,1.0,99.0,420.0,179133.0,23.80952,5.52662,4.30815,0.23212,100.0,179553.0,5.56939,collor
américa,1.0,64.0,420.0,179133.0,23.80952,3.57276,6.66417,0.15006,65.0,179553.0,3.6201,collor
apesar,1.0,38.0,420.0,179133.0,23.80952,2.12133,11.22387,0.0891,39.0,179553.0,2.17206,collor
apoio,1.0,293.0,420.0,179133.0,23.80952,16.35656,1.45566,0.68698,294.0,179553.0,16.374,collor
apresenta,1.0,13.0,420.0,179133.0,23.80952,0.72572,32.80824,0.03048,14.0,179553.0,0.77971,collor
apresentada,1.0,8.0,420.0,179133.0,23.80952,0.4466,53.31339,0.01876,9.0,179553.0,0.50124,collor
aprova,1.0,6.0,420.0,179133.0,23.80952,0.33495,71.08452,0.01407,7.0,179553.0,0.38986,collor
aprovaram,1.0,4.0,420.0,179133.0,23.80952,0.2233,106.62679,0.00938,5.0,179553.0,0.27847,collor
aprovou,1.0,11.0,420.0,179133.0,23.80952,0.61407,38.77338,0.02579,12.0,179553.0,0.66833,collor
