word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
's,2.0,6.0,18773.0,160780.0,1.06536,0.37318,2.85481,0.35029,8.0,179553.0,0.44555,geraldoalckmin
abaixo,3.0,31.0,18773.0,160780.0,1.59804,1.9281,0.82882,1.20654,34.0,179553.0,1.89359,geraldoalckmin
abastecimento,2.0,6.0,18773.0,160780.0,1.06536,0.37318,2.85481,0.35029,8.0,179553.0,0.44555,geraldoalckmin
abc,1.0,11.0,18773.0,160780.0,0.53268,0.68416,0.77858,1.28438,12.0,179553.0,0.66833,geraldoalckmin
abertas,9.0,7.0,18773.0,160780.0,4.79412,0.43538,11.01141,0.09081,16.0,179553.0,0.8911,geraldoalckmin
aberto,3.0,16.0,18773.0,160780.0,1.59804,0.99515,1.60583,0.62273,19.0,179553.0,1.05818,geraldoalckmin
abertos,1.0,5.0,18773.0,160780.0,0.53268,0.31098,1.71289,0.58381,6.0,179553.0,0.33416,geraldoalckmin
abertura,6.0,54.0,18773.0,160780.0,3.19608,3.35863,0.9516,1.05086,60.0,179553.0,3.34163,geraldoalckmin
abordamos,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
abraço,31.0,129.0,18773.0,160780.0,16.51308,8.02339,2.05812,0.48588,160.0,179553.0,8.91102,geraldoalckmin
abraços,41.0,13.0,18773.0,160780.0,21.83988,0.80856,27.01089,0.03702,54.0,179553.0,3.00747,geraldoalckmin
abril,2.0,36.0,18773.0,160780.0,1.06536,2.23908,0.4758,2.10172,38.0,179553.0,2.11637,geraldoalckmin
abrir,3.0,37.0,18773.0,160780.0,1.59804,2.30128,0.69441,1.44007,40.0,179553.0,2.22775,geraldoalckmin
absoluto,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
absurda,1.0,8.0,18773.0,160780.0,0.53268,0.49757,1.07055,0.9341,9.0,179553.0,0.50124,geraldoalckmin
absurdo,1.0,57.0,18773.0,160780.0,0.53268,3.54522,0.15025,6.65544,58.0,179553.0,3.23024,geraldoalckmin
abusos,1.0,10.0,18773.0,160780.0,0.53268,0.62197,0.85644,1.16762,11.0,179553.0,0.61263,geraldoalckmin
acaba,1.0,120.0,18773.0,160780.0,0.53268,7.46361,0.07137,14.01144,121.0,179553.0,6.73896,geraldoalckmin
acabam,1.0,12.0,18773.0,160780.0,0.53268,0.74636,0.7137,1.40114,13.0,179553.0,0.72402,geraldoalckmin
acabamos,2.0,7.0,18773.0,160780.0,1.06536,0.43538,2.44698,0.40867,9.0,179553.0,0.50124,geraldoalckmin
acabando,1.0,12.0,18773.0,160780.0,0.53268,0.74636,0.7137,1.40114,13.0,179553.0,0.72402,geraldoalckmin
acabar,1.0,140.0,18773.0,160780.0,0.53268,8.70755,0.06117,16.34668,141.0,179553.0,7.85283,geraldoalckmin
acabei,3.0,14.0,18773.0,160780.0,1.59804,0.87076,1.83523,0.54489,17.0,179553.0,0.9468,geraldoalckmin
acabo,3.0,14.0,18773.0,160780.0,1.59804,0.87076,1.83523,0.54489,17.0,179553.0,0.9468,geraldoalckmin
acabou,1.0,27.0,18773.0,160780.0,0.53268,1.67931,0.3172,3.15257,28.0,179553.0,1.55943,geraldoalckmin
academia,2.0,5.0,18773.0,160780.0,1.06536,0.31098,3.42577,0.29191,7.0,179553.0,0.38986,geraldoalckmin
acadêmico,1.0,4.0,18773.0,160780.0,0.53268,0.24879,2.14111,0.46705,5.0,179553.0,0.27847,geraldoalckmin
acadêmicos,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
acaso,2.0,7.0,18773.0,160780.0,1.06536,0.43538,2.44698,0.40867,9.0,179553.0,0.50124,geraldoalckmin
aceitar,1.0,23.0,18773.0,160780.0,0.53268,1.43053,0.37237,2.68553,24.0,179553.0,1.33665,geraldoalckmin
aceitei,1.0,6.0,18773.0,160780.0,0.53268,0.37318,1.4274,0.70057,7.0,179553.0,0.38986,geraldoalckmin
aceitável,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
acertar,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
acervo,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
acessibilidade,4.0,7.0,18773.0,160780.0,2.13072,0.43538,4.89396,0.20433,11.0,179553.0,0.61263,geraldoalckmin
acesso,28.0,50.0,18773.0,160780.0,14.91504,3.10984,4.79608,0.2085,78.0,179553.0,4.34412,geraldoalckmin
acessível,2.0,1.0,18773.0,160780.0,1.06536,0.0622,17.12886,0.05838,3.0,179553.0,0.16708,geraldoalckmin
acho,3.0,71.0,18773.0,160780.0,1.59804,4.41597,0.36188,2.76337,74.0,179553.0,4.12135,geraldoalckmin
acidentes,16.0,4.0,18773.0,160780.0,8.52288,0.24879,34.25771,0.02919,20.0,179553.0,1.11388,geraldoalckmin
acima,10.0,52.0,18773.0,160780.0,5.3268,3.23423,1.64701,0.60716,62.0,179553.0,3.45302,geraldoalckmin
acolhida,1.0,7.0,18773.0,160780.0,0.53268,0.43538,1.22349,0.81733,8.0,179553.0,0.44555,geraldoalckmin
acompanha,1.0,19.0,18773.0,160780.0,0.53268,1.18174,0.45076,2.21848,20.0,179553.0,1.11388,geraldoalckmin
acompanham,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
acompanhar,5.0,17.0,18773.0,160780.0,2.6634,1.05735,2.51895,0.39699,22.0,179553.0,1.22526,geraldoalckmin
acompanharam,2.0,2.0,18773.0,160780.0,1.06536,0.12439,8.56443,0.11676,4.0,179553.0,0.22278,geraldoalckmin
acompanhe,3.0,186.0,18773.0,160780.0,1.59804,11.5686,0.13814,7.23925,189.0,179553.0,10.52614,geraldoalckmin
acompanhei,5.0,1.0,18773.0,160780.0,2.6634,0.0622,42.82214,0.02335,6.0,179553.0,0.33416,geraldoalckmin
acompanhem,9.0,27.0,18773.0,160780.0,4.79412,1.67931,2.85481,0.35029,36.0,179553.0,2.00498,geraldoalckmin
acompanhou,1.0,5.0,18773.0,160780.0,0.53268,0.31098,1.71289,0.58381,6.0,179553.0,0.33416,geraldoalckmin
acontece,6.0,26.0,18773.0,160780.0,3.19608,1.61712,1.97641,0.50597,32.0,179553.0,1.7822,geraldoalckmin
acontecendo,1.0,29.0,18773.0,160780.0,0.53268,1.80371,0.29533,3.3861,30.0,179553.0,1.67082,geraldoalckmin
aconteceu,1.0,32.0,18773.0,160780.0,0.53268,1.9903,0.26764,3.73639,33.0,179553.0,1.8379,geraldoalckmin
aconteça,1.0,3.0,18773.0,160780.0,0.53268,0.18659,2.85481,0.35029,4.0,179553.0,0.22278,geraldoalckmin
acordo,8.0,54.0,18773.0,160780.0,4.26144,3.35863,1.2688,0.78814,62.0,179553.0,3.45302,geraldoalckmin
acre,1.0,4.0,18773.0,160780.0,0.53268,0.24879,2.14111,0.46705,5.0,179553.0,0.27847,geraldoalckmin
acredita,1.0,25.0,18773.0,160780.0,0.53268,1.55492,0.34258,2.91905,26.0,179553.0,1.44804,geraldoalckmin
acreditam,2.0,15.0,18773.0,160780.0,1.06536,0.93295,1.14192,0.87572,17.0,179553.0,0.9468,geraldoalckmin
acreditamos,2.0,18.0,18773.0,160780.0,1.06536,1.11954,0.9516,1.05086,20.0,179553.0,1.11388,geraldoalckmin
acreditar,1.0,25.0,18773.0,160780.0,0.53268,1.55492,0.34258,2.91905,26.0,179553.0,1.44804,geraldoalckmin
acreditem,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
acredito,7.0,64.0,18773.0,160780.0,3.72876,3.98059,0.93673,1.06754,71.0,179553.0,3.95426,geraldoalckmin
acusação,1.0,11.0,18773.0,160780.0,0.53268,0.68416,0.77858,1.28438,12.0,179553.0,0.66833,geraldoalckmin
acusações,2.0,13.0,18773.0,160780.0,1.06536,0.80856,1.3176,0.75895,15.0,179553.0,0.83541,geraldoalckmin
adequada,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
adianta,2.0,22.0,18773.0,160780.0,1.06536,1.36833,0.77858,1.28438,24.0,179553.0,1.33665,geraldoalckmin
adiante,2.0,20.0,18773.0,160780.0,1.06536,1.24394,0.85644,1.16762,22.0,179553.0,1.22526,geraldoalckmin
administrar,1.0,7.0,18773.0,160780.0,0.53268,0.43538,1.22349,0.81733,8.0,179553.0,0.44555,geraldoalckmin
administração,3.0,20.0,18773.0,160780.0,1.59804,1.24394,1.28466,0.77841,23.0,179553.0,1.28096,geraldoalckmin
admirador,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
adolescentes,3.0,4.0,18773.0,160780.0,1.59804,0.24879,6.42332,0.15568,7.0,179553.0,0.38986,geraldoalckmin
adotamos,1.0,5.0,18773.0,160780.0,0.53268,0.31098,1.71289,0.58381,6.0,179553.0,0.33416,geraldoalckmin
adote,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
adriana,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
adriano,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
adultos,2.0,4.0,18773.0,160780.0,1.06536,0.24879,4.28221,0.23352,6.0,179553.0,0.33416,geraldoalckmin
adversário,1.0,17.0,18773.0,160780.0,0.53268,1.05735,0.50379,1.98495,18.0,179553.0,1.00249,geraldoalckmin
aeroporto,11.0,36.0,18773.0,160780.0,5.85948,2.23908,2.61691,0.38213,47.0,179553.0,2.61761,geraldoalckmin
afastamento,1.0,11.0,18773.0,160780.0,0.53268,0.68416,0.77858,1.28438,12.0,179553.0,0.66833,geraldoalckmin
afastar,1.0,7.0,18773.0,160780.0,0.53268,0.43538,1.22349,0.81733,8.0,179553.0,0.44555,geraldoalckmin
afirmar,1.0,8.0,18773.0,160780.0,0.53268,0.49757,1.07055,0.9341,9.0,179553.0,0.50124,geraldoalckmin
age,1.0,6.0,18773.0,160780.0,0.53268,0.37318,1.4274,0.70057,7.0,179553.0,0.38986,geraldoalckmin
agenda,9.0,63.0,18773.0,160780.0,4.79412,3.9184,1.22349,0.81733,72.0,179553.0,4.00996,geraldoalckmin
agendar,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
agendas,2.0,3.0,18773.0,160780.0,1.06536,0.18659,5.70962,0.17514,5.0,179553.0,0.27847,geraldoalckmin
agentes,2.0,11.0,18773.0,160780.0,1.06536,0.68416,1.55717,0.64219,13.0,179553.0,0.72402,geraldoalckmin
agilidade,3.0,1.0,18773.0,160780.0,1.59804,0.0622,25.69328,0.03892,4.0,179553.0,0.22278,geraldoalckmin
agir,1.0,8.0,18773.0,160780.0,0.53268,0.49757,1.07055,0.9341,9.0,179553.0,0.50124,geraldoalckmin
agora,45.0,523.0,18773.0,160780.0,23.9706,32.52892,0.7369,1.35703,568.0,179553.0,31.63411,geraldoalckmin
agradecemos,1.0,15.0,18773.0,160780.0,0.53268,0.93295,0.57096,1.75143,16.0,179553.0,0.8911,geraldoalckmin
agradecer,2.0,17.0,18773.0,160780.0,1.06536,1.05735,1.00758,0.99248,19.0,179553.0,1.05818,geraldoalckmin
agradecimento,1.0,8.0,18773.0,160780.0,0.53268,0.49757,1.07055,0.9341,9.0,179553.0,0.50124,geraldoalckmin
agradeço,6.0,92.0,18773.0,160780.0,3.19608,5.7221,0.55855,1.79035,98.0,179553.0,5.458,geraldoalckmin
agricultura,7.0,38.0,18773.0,160780.0,3.72876,2.36348,1.57766,0.63385,45.0,179553.0,2.50622,geraldoalckmin
agronegócio,8.0,18.0,18773.0,160780.0,4.26144,1.11954,3.80641,0.26271,26.0,179553.0,1.44804,geraldoalckmin
agropecuária,1.0,13.0,18773.0,160780.0,0.53268,0.80856,0.6588,1.51791,14.0,179553.0,0.77971,geraldoalckmin
aguenta,2.0,11.0,18773.0,160780.0,1.06536,0.68416,1.55717,0.64219,13.0,179553.0,0.72402,geraldoalckmin
agência,5.0,14.0,18773.0,160780.0,2.6634,0.87076,3.05872,0.32693,19.0,179553.0,1.05818,geraldoalckmin
ainda,56.0,321.0,18773.0,160780.0,29.83008,19.96517,1.49411,0.6693,377.0,179553.0,20.99659,geraldoalckmin
ajuda,6.0,29.0,18773.0,160780.0,3.19608,1.80371,1.77195,0.56435,35.0,179553.0,1.94929,geraldoalckmin
ajudam,2.0,6.0,18773.0,160780.0,1.06536,0.37318,2.85481,0.35029,8.0,179553.0,0.44555,geraldoalckmin
ajudando,2.0,11.0,18773.0,160780.0,1.06536,0.68416,1.55717,0.64219,13.0,179553.0,0.72402,geraldoalckmin
ajudante,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
ajudar,14.0,41.0,18773.0,160780.0,7.45752,2.55007,2.92444,0.34195,55.0,179553.0,3.06316,geraldoalckmin
ajudará,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
ajude,2.0,12.0,18773.0,160780.0,1.06536,0.74636,1.4274,0.70057,14.0,179553.0,0.77971,geraldoalckmin
ajudou,1.0,4.0,18773.0,160780.0,0.53268,0.24879,2.14111,0.46705,5.0,179553.0,0.27847,geraldoalckmin
ajustes,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
alagoas,1.0,8.0,18773.0,160780.0,0.53268,0.49757,1.07055,0.9341,9.0,179553.0,0.50124,geraldoalckmin
alcançou,2.0,3.0,18773.0,160780.0,1.06536,0.18659,5.70962,0.17514,5.0,179553.0,0.27847,geraldoalckmin
alckmin,15.0,15.0,18773.0,160780.0,7.9902,0.93295,8.56443,0.11676,30.0,179553.0,1.67082,geraldoalckmin
alegria,9.0,27.0,18773.0,160780.0,4.79412,1.67931,2.85481,0.35029,36.0,179553.0,2.00498,geraldoalckmin
alegrias,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
alertas,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
algo,1.0,43.0,18773.0,160780.0,0.53268,2.67446,0.19917,5.02077,44.0,179553.0,2.45053,geraldoalckmin
algum,1.0,28.0,18773.0,160780.0,0.53268,1.74151,0.30587,3.26934,29.0,179553.0,1.61512,geraldoalckmin
algumas,6.0,45.0,18773.0,160780.0,3.19608,2.79886,1.14192,0.87572,51.0,179553.0,2.84039,geraldoalckmin
alguns,7.0,89.0,18773.0,160780.0,3.72876,5.53551,0.67361,1.48455,96.0,179553.0,5.34661,geraldoalckmin
alguém,1.0,84.0,18773.0,160780.0,0.53268,5.22453,0.10196,9.80801,85.0,179553.0,4.73398,geraldoalckmin
aliado,2.0,8.0,18773.0,160780.0,1.06536,0.49757,2.14111,0.46705,10.0,179553.0,0.55694,geraldoalckmin
alimentar,2.0,10.0,18773.0,160780.0,1.06536,0.62197,1.71289,0.58381,12.0,179553.0,0.66833,geraldoalckmin
alimentação,10.0,11.0,18773.0,160780.0,5.3268,0.68416,7.78584,0.12844,21.0,179553.0,1.16957,geraldoalckmin
alimentos,1.0,16.0,18773.0,160780.0,0.53268,0.99515,0.53528,1.86819,17.0,179553.0,0.9468,geraldoalckmin
almoço,4.0,22.0,18773.0,160780.0,2.13072,1.36833,1.55717,0.64219,26.0,179553.0,1.44804,geraldoalckmin
alta,9.0,41.0,18773.0,160780.0,4.79412,2.55007,1.88,0.53192,50.0,179553.0,2.78469,geraldoalckmin
altas,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
alternativa,3.0,9.0,18773.0,160780.0,1.59804,0.55977,2.85481,0.35029,12.0,179553.0,0.66833,geraldoalckmin
alternativas,1.0,8.0,18773.0,160780.0,0.53268,0.49757,1.07055,0.9341,9.0,179553.0,0.50124,geraldoalckmin
alto,3.0,23.0,18773.0,160780.0,1.59804,1.43053,1.1171,0.89518,26.0,179553.0,1.44804,geraldoalckmin
altos,2.0,8.0,18773.0,160780.0,1.06536,0.49757,2.14111,0.46705,10.0,179553.0,0.55694,geraldoalckmin
altura,2.0,6.0,18773.0,160780.0,1.06536,0.37318,2.85481,0.35029,8.0,179553.0,0.44555,geraldoalckmin
altíssimo,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
aluguel,2.0,8.0,18773.0,160780.0,1.06536,0.49757,2.14111,0.46705,10.0,179553.0,0.55694,geraldoalckmin
aluno,1.0,6.0,18773.0,160780.0,0.53268,0.37318,1.4274,0.70057,7.0,179553.0,0.38986,geraldoalckmin
alunos,21.0,37.0,18773.0,160780.0,11.18628,2.30128,4.86089,0.20572,58.0,179553.0,3.23024,geraldoalckmin
alves,1.0,3.0,18773.0,160780.0,0.53268,0.18659,2.85481,0.35029,4.0,179553.0,0.22278,geraldoalckmin
além,36.0,96.0,18773.0,160780.0,19.17648,5.97089,3.21166,0.31137,132.0,179553.0,7.35159,geraldoalckmin
amanhã,10.0,98.0,18773.0,160780.0,5.3268,6.09529,0.87392,1.14427,108.0,179553.0,6.01494,geraldoalckmin
amarela,7.0,4.0,18773.0,160780.0,3.72876,0.24879,14.98775,0.06672,11.0,179553.0,0.61263,geraldoalckmin
amarelas,1.0,3.0,18773.0,160780.0,0.53268,0.18659,2.85481,0.35029,4.0,179553.0,0.22278,geraldoalckmin
ambiental,2.0,9.0,18773.0,160780.0,1.06536,0.55977,1.90321,0.52543,11.0,179553.0,0.61263,geraldoalckmin
ambiente,9.0,39.0,18773.0,160780.0,4.79412,2.42567,1.97641,0.50597,48.0,179553.0,2.67331,geraldoalckmin
ambientes,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
ambos,1.0,9.0,18773.0,160780.0,0.53268,0.55977,0.9516,1.05086,10.0,179553.0,0.55694,geraldoalckmin
ambulâncias,1.0,5.0,18773.0,160780.0,0.53268,0.31098,1.71289,0.58381,6.0,179553.0,0.33416,geraldoalckmin
americana,2.0,13.0,18773.0,160780.0,1.06536,0.80856,1.3176,0.75895,15.0,179553.0,0.83541,geraldoalckmin
amiga,2.0,21.0,18773.0,160780.0,1.06536,1.30613,0.81566,1.226,23.0,179553.0,1.28096,geraldoalckmin
amigo,5.0,62.0,18773.0,160780.0,2.6634,3.8562,0.69068,1.44785,67.0,179553.0,3.73149,geraldoalckmin
amigos,12.0,88.0,18773.0,160780.0,6.39216,5.47332,1.16788,0.85625,100.0,179553.0,5.56939,geraldoalckmin
amo,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
amor,6.0,43.0,18773.0,160780.0,3.19608,2.67446,1.19504,0.83679,49.0,179553.0,2.729,geraldoalckmin
amoroso,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
amp,3.0,11.0,18773.0,160780.0,1.59804,0.68416,2.33575,0.42813,14.0,179553.0,0.77971,geraldoalckmin
amparo,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
amplia,1.0,5.0,18773.0,160780.0,0.53268,0.31098,1.71289,0.58381,6.0,179553.0,0.33416,geraldoalckmin
ampliado,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
ampliamos,2.0,1.0,18773.0,160780.0,1.06536,0.0622,17.12886,0.05838,3.0,179553.0,0.16708,geraldoalckmin
ampliando,2.0,4.0,18773.0,160780.0,1.06536,0.24879,4.28221,0.23352,6.0,179553.0,0.33416,geraldoalckmin
ampliar,6.0,10.0,18773.0,160780.0,3.19608,0.62197,5.13866,0.1946,16.0,179553.0,0.8911,geraldoalckmin
ampliação,5.0,7.0,18773.0,160780.0,2.6634,0.43538,6.11745,0.16347,12.0,179553.0,0.66833,geraldoalckmin
américa,9.0,56.0,18773.0,160780.0,4.79412,3.48302,1.37643,0.72652,65.0,179553.0,3.6201,geraldoalckmin
ana,1.0,17.0,18773.0,160780.0,0.53268,1.05735,0.50379,1.98495,18.0,179553.0,1.00249,geraldoalckmin
analfabetos,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
andam,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
andamento,1.0,3.0,18773.0,160780.0,0.53268,0.18659,2.85481,0.35029,4.0,179553.0,0.22278,geraldoalckmin
andar,1.0,37.0,18773.0,160780.0,0.53268,2.30128,0.23147,4.3202,38.0,179553.0,2.11637,geraldoalckmin
andreia,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
angra,2.0,1.0,18773.0,160780.0,1.06536,0.0622,17.12886,0.05838,3.0,179553.0,0.16708,geraldoalckmin
anhembi,2.0,1.0,18773.0,160780.0,1.06536,0.0622,17.12886,0.05838,3.0,179553.0,0.16708,geraldoalckmin
animado,1.0,7.0,18773.0,160780.0,0.53268,0.43538,1.22349,0.81733,8.0,179553.0,0.44555,geraldoalckmin
animadores,4.0,1.0,18773.0,160780.0,2.13072,0.0622,34.25771,0.02919,5.0,179553.0,0.27847,geraldoalckmin
animais,3.0,6.0,18773.0,160780.0,1.59804,0.37318,4.28221,0.23352,9.0,179553.0,0.50124,geraldoalckmin
aniversário,7.0,34.0,18773.0,160780.0,3.72876,2.11469,1.76326,0.56713,41.0,179553.0,2.28345,geraldoalckmin
ano,56.0,283.0,18773.0,160780.0,29.83008,17.60169,1.69473,0.59007,339.0,179553.0,18.88022,geraldoalckmin
anos,57.0,509.0,18773.0,160780.0,30.36276,31.65817,0.95908,1.04266,566.0,179553.0,31.52273,geraldoalckmin
anseios,1.0,5.0,18773.0,160780.0,0.53268,0.31098,1.71289,0.58381,6.0,179553.0,0.33416,geraldoalckmin
antecipado,1.0,2.0,18773.0,160780.0,0.53268,0.12439,4.28221,0.23352,3.0,179553.0,0.16708,geraldoalckmin
anteontem,1.0,1.0,18773.0,160780.0,0.53268,0.0622,8.56443,0.11676,2.0,179553.0,0.11139,geraldoalckmin
anterior,1.0,14.0,18773.0,160780.0,0.53268,0.87076,0.61174,1.63467,15.0,179553.0,0.83541,geraldoalckmin
antes,5.0,87.0,18773.0,160780.0,2.6634,5.41112,0.49221,2.03166,92.0,179553.0,5.12384,geraldoalckmin
