word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
abandonados,1.0,1.0,7460.0,172093.0,1.34048,0.05811,23.06877,0.04335,2.0,179553.0,0.11139,jairbolsonaro
abc,1.0,11.0,7460.0,172093.0,1.34048,0.63919,2.09716,0.47684,12.0,179553.0,0.66833,jairbolsonaro
abençoe,1.0,4.0,7460.0,172093.0,1.34048,0.23243,5.76719,0.17339,5.0,179553.0,0.27847,jairbolsonaro
abertamente,2.0,1.0,7460.0,172093.0,2.68097,0.05811,46.13753,0.02167,3.0,179553.0,0.16708,jairbolsonaro
aborto,1.0,10.0,7460.0,172093.0,1.34048,0.58108,2.30688,0.43349,11.0,179553.0,0.61263,jairbolsonaro
abram,1.0,1.0,7460.0,172093.0,1.34048,0.05811,23.06877,0.04335,2.0,179553.0,0.11139,jairbolsonaro
abraço,37.0,123.0,7460.0,172093.0,49.59786,7.1473,6.93939,0.1441,160.0,179553.0,8.91102,jairbolsonaro
abril,5.0,33.0,7460.0,172093.0,6.70241,1.91757,3.49527,0.2861,38.0,179553.0,2.11637,jairbolsonaro
abrir,1.0,39.0,7460.0,172093.0,1.34048,2.26622,0.59151,1.6906,40.0,179553.0,2.22775,jairbolsonaro
absoluto,1.0,2.0,7460.0,172093.0,1.34048,0.11622,11.53438,0.0867,3.0,179553.0,0.16708,jairbolsonaro
absurdo,2.0,56.0,7460.0,172093.0,2.68097,3.25405,0.82388,1.21376,58.0,179553.0,3.23024,jairbolsonaro
absurdos,1.0,5.0,7460.0,172093.0,1.34048,0.29054,4.61375,0.21674,6.0,179553.0,0.33416,jairbolsonaro
acaba,1.0,120.0,7460.0,172093.0,1.34048,6.97297,0.19224,5.20184,121.0,179553.0,6.73896,jairbolsonaro
acabamos,1.0,8.0,7460.0,172093.0,1.34048,0.46486,2.8836,0.34679,9.0,179553.0,0.50124,jairbolsonaro
acabando,1.0,12.0,7460.0,172093.0,1.34048,0.6973,1.9224,0.52018,13.0,179553.0,0.72402,jairbolsonaro
acabar,3.0,138.0,7460.0,172093.0,4.02145,8.01892,0.50149,1.99404,141.0,179553.0,7.85283,jairbolsonaro
acabará,1.0,2.0,7460.0,172093.0,1.34048,0.11622,11.53438,0.0867,3.0,179553.0,0.16708,jairbolsonaro
acabou,2.0,26.0,7460.0,172093.0,2.68097,1.51081,1.77452,0.56353,28.0,179553.0,1.55943,jairbolsonaro
acadêmico,1.0,4.0,7460.0,172093.0,1.34048,0.23243,5.76719,0.17339,5.0,179553.0,0.27847,jairbolsonaro
aceita,4.0,9.0,7460.0,172093.0,5.36193,0.52297,10.25279,0.09753,13.0,179553.0,0.72402,jairbolsonaro
acerta,1.0,3.0,7460.0,172093.0,1.34048,0.17432,7.68959,0.13005,4.0,179553.0,0.22278,jairbolsonaro
acertou,1.0,1.0,7460.0,172093.0,1.34048,0.05811,23.06877,0.04335,2.0,179553.0,0.11139,jairbolsonaro
acessar,1.0,2.0,7460.0,172093.0,1.34048,0.11622,11.53438,0.0867,3.0,179553.0,0.16708,jairbolsonaro
acesso,2.0,76.0,7460.0,172093.0,2.68097,4.41622,0.60707,1.64725,78.0,179553.0,4.34412,jairbolsonaro
acha,1.0,54.0,7460.0,172093.0,1.34048,3.13784,0.4272,2.34083,55.0,179553.0,3.06316,jairbolsonaro
acham,1.0,40.0,7460.0,172093.0,1.34048,2.32432,0.57672,1.73395,41.0,179553.0,2.28345,jairbolsonaro
acima,4.0,58.0,7460.0,172093.0,5.36193,3.37027,1.59095,0.62856,62.0,179553.0,3.45302,jairbolsonaro
acompanha,1.0,19.0,7460.0,172093.0,1.34048,1.10405,1.21415,0.82362,20.0,179553.0,1.11388,jairbolsonaro
acompanhar,1.0,21.0,7460.0,172093.0,1.34048,1.22027,1.09851,0.91032,22.0,179553.0,1.22526,jairbolsonaro
acompanhe,2.0,187.0,7460.0,172093.0,2.68097,10.86622,0.24672,4.0531,189.0,179553.0,10.52614,jairbolsonaro
acompanhou,1.0,5.0,7460.0,172093.0,1.34048,0.29054,4.61375,0.21674,6.0,179553.0,0.33416,jairbolsonaro
acontece,3.0,29.0,7460.0,172093.0,4.02145,1.68514,2.38642,0.41904,32.0,179553.0,1.7822,jairbolsonaro
acontecer,2.0,20.0,7460.0,172093.0,2.68097,1.16216,2.30688,0.43349,22.0,179553.0,1.22526,jairbolsonaro
acordou,2.0,2.0,7460.0,172093.0,2.68097,0.11622,23.06877,0.04335,4.0,179553.0,0.22278,jairbolsonaro
acostumando,1.0,1.0,7460.0,172093.0,1.34048,0.05811,23.06877,0.04335,2.0,179553.0,0.11139,jairbolsonaro
acredita,3.0,23.0,7460.0,172093.0,4.02145,1.33649,3.00897,0.33234,26.0,179553.0,1.44804,jairbolsonaro
acusa,1.0,2.0,7460.0,172093.0,1.34048,0.11622,11.53438,0.0867,3.0,179553.0,0.16708,jairbolsonaro
acusam,3.0,1.0,7460.0,172093.0,4.02145,0.05811,69.2063,0.01445,4.0,179553.0,0.22278,jairbolsonaro
acusar,2.0,8.0,7460.0,172093.0,2.68097,0.46486,5.76719,0.17339,10.0,179553.0,0.55694,jairbolsonaro
acusação,1.0,11.0,7460.0,172093.0,1.34048,0.63919,2.09716,0.47684,12.0,179553.0,0.66833,jairbolsonaro
aderiu,1.0,1.0,7460.0,172093.0,1.34048,0.05811,23.06877,0.04335,2.0,179553.0,0.11139,jairbolsonaro
adianta,1.0,23.0,7460.0,172093.0,1.34048,1.33649,1.00299,0.99702,24.0,179553.0,1.33665,jairbolsonaro
adiante,5.0,17.0,7460.0,172093.0,6.70241,0.98784,6.78493,0.14739,22.0,179553.0,1.22526,jairbolsonaro
admirador,1.0,2.0,7460.0,172093.0,1.34048,0.11622,11.53438,0.0867,3.0,179553.0,0.16708,jairbolsonaro
