word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
abastecer,1.0,1.0,10695.0,168858.0,0.93502,0.05922,15.7885,0.06334,2.0,179553.0,0.11139,jaqueswagner
abastecimento,1.0,7.0,10695.0,168858.0,0.93502,0.41455,2.2555,0.44336,8.0,179553.0,0.44555,jaqueswagner
abordamos,1.0,1.0,10695.0,168858.0,0.93502,0.05922,15.7885,0.06334,2.0,179553.0,0.11139,jaqueswagner
abraçado,1.0,1.0,10695.0,168858.0,0.93502,0.05922,15.7885,0.06334,2.0,179553.0,0.11139,jaqueswagner
abraço,2.0,158.0,10695.0,168858.0,1.87003,9.35697,0.19985,5.00364,160.0,179553.0,8.91102,jaqueswagner
abril,2.0,36.0,10695.0,168858.0,1.87003,2.13197,0.87714,1.14007,38.0,179553.0,2.11637,jaqueswagner
abrir,1.0,39.0,10695.0,168858.0,0.93502,2.30963,0.40483,2.47015,40.0,179553.0,2.22775,jaqueswagner
absoluta,1.0,7.0,10695.0,168858.0,0.93502,0.41455,2.2555,0.44336,8.0,179553.0,0.44555,jaqueswagner
absolutamente,1.0,3.0,10695.0,168858.0,0.93502,0.17766,5.26283,0.19001,4.0,179553.0,0.22278,jaqueswagner
absoluto,1.0,2.0,10695.0,168858.0,0.93502,0.11844,7.89425,0.12667,3.0,179553.0,0.16708,jaqueswagner
absolveu,1.0,1.0,10695.0,168858.0,0.93502,0.05922,15.7885,0.06334,2.0,179553.0,0.11139,jaqueswagner
absolvição,1.0,2.0,10695.0,168858.0,0.93502,0.11844,7.89425,0.12667,3.0,179553.0,0.16708,jaqueswagner
absurdo,2.0,56.0,10695.0,168858.0,1.87003,3.3164,0.56387,1.77344,58.0,179553.0,3.23024,jaqueswagner
absurdos,1.0,5.0,10695.0,168858.0,0.93502,0.29611,3.1577,0.31669,6.0,179553.0,0.33416,jaqueswagner
