word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
abaixo,6.0,28.0,16680.0,162873.0,3.59712,1.71913,2.09241,0.47792,34.0,179553.0,1.89359,joaoamoedonovo
abalar,2.0,1.0,16680.0,162873.0,1.19904,0.0614,19.52914,0.05121,3.0,179553.0,0.16708,joaoamoedonovo
abertamente,1.0,2.0,16680.0,162873.0,0.59952,0.1228,4.88228,0.20482,3.0,179553.0,0.16708,joaoamoedonovo
aberto,6.0,13.0,16680.0,162873.0,3.59712,0.79817,4.50672,0.22189,19.0,179553.0,1.05818,joaoamoedonovo
abertos,2.0,4.0,16680.0,162873.0,1.19904,0.24559,4.88228,0.20482,6.0,179553.0,0.33416,joaoamoedonovo
abertura,11.0,49.0,16680.0,162873.0,6.59472,3.00848,2.19205,0.45619,60.0,179553.0,3.34163,joaoamoedonovo
abismo,1.0,1.0,16680.0,162873.0,0.59952,0.0614,9.76457,0.10241,2.0,179553.0,0.11139,joaoamoedonovo
aborto,3.0,8.0,16680.0,162873.0,1.79856,0.49118,3.66171,0.2731,11.0,179553.0,0.61263,joaoamoedonovo
abram,1.0,1.0,16680.0,162873.0,0.59952,0.0614,9.76457,0.10241,2.0,179553.0,0.11139,joaoamoedonovo
abraço,2.0,158.0,16680.0,162873.0,1.19904,9.70081,0.1236,8.09048,160.0,179553.0,8.91102,joaoamoedonovo
abraços,5.0,49.0,16680.0,162873.0,2.9976,3.00848,0.99638,1.00363,54.0,179553.0,3.00747,joaoamoedonovo
abre,2.0,14.0,16680.0,162873.0,1.19904,0.85957,1.39494,0.71688,16.0,179553.0,0.8911,joaoamoedonovo
abril,1.0,37.0,16680.0,162873.0,0.59952,2.27171,0.26391,3.78921,38.0,179553.0,2.11637,joaoamoedonovo
abrindo,1.0,7.0,16680.0,162873.0,0.59952,0.42978,1.39494,0.71688,8.0,179553.0,0.44555,joaoamoedonovo
abrir,10.0,30.0,16680.0,162873.0,5.9952,1.84193,3.25486,0.30723,40.0,179553.0,2.22775,joaoamoedonovo
abriram,2.0,8.0,16680.0,162873.0,1.19904,0.49118,2.44114,0.40964,10.0,179553.0,0.55694,joaoamoedonovo
absolutamente,1.0,3.0,16680.0,162873.0,0.59952,0.18419,3.25486,0.30723,4.0,179553.0,0.22278,joaoamoedonovo
absurda,1.0,8.0,16680.0,162873.0,0.59952,0.49118,1.22057,0.81929,9.0,179553.0,0.50124,joaoamoedonovo
absurdo,17.0,41.0,16680.0,162873.0,10.19185,2.5173,4.04872,0.24699,58.0,179553.0,3.23024,joaoamoedonovo
abusiva,1.0,1.0,16680.0,162873.0,0.59952,0.0614,9.76457,0.10241,2.0,179553.0,0.11139,joaoamoedonovo
abusos,2.0,9.0,16680.0,162873.0,1.19904,0.55258,2.1699,0.46085,11.0,179553.0,0.61263,joaoamoedonovo
acaba,6.0,115.0,16680.0,162873.0,3.59712,7.06072,0.50946,1.96288,121.0,179553.0,6.73896,joaoamoedonovo
acabam,4.0,9.0,16680.0,162873.0,2.39808,0.55258,4.33981,0.23042,13.0,179553.0,0.72402,joaoamoedonovo
acabamos,1.0,8.0,16680.0,162873.0,0.59952,0.49118,1.22057,0.81929,9.0,179553.0,0.50124,joaoamoedonovo
acabando,1.0,12.0,16680.0,162873.0,0.59952,0.73677,0.81371,1.22893,13.0,179553.0,0.72402,joaoamoedonovo
acabar,24.0,117.0,16680.0,162873.0,14.38849,7.18351,2.00299,0.49925,141.0,179553.0,7.85283,joaoamoedonovo
acabarmos,4.0,9.0,16680.0,162873.0,2.39808,0.55258,4.33981,0.23042,13.0,179553.0,0.72402,joaoamoedonovo
acabará,1.0,2.0,16680.0,162873.0,0.59952,0.1228,4.88228,0.20482,3.0,179553.0,0.16708,joaoamoedonovo
acabe,2.0,3.0,16680.0,162873.0,1.19904,0.18419,6.50971,0.15362,5.0,179553.0,0.27847,joaoamoedonovo
acabei,4.0,13.0,16680.0,162873.0,2.39808,0.79817,3.00448,0.33284,17.0,179553.0,0.9468,joaoamoedonovo
acabou,2.0,26.0,16680.0,162873.0,1.19904,1.59634,0.75112,1.33134,28.0,179553.0,1.55943,joaoamoedonovo
aceitei,1.0,6.0,16680.0,162873.0,0.59952,0.36839,1.62743,0.61447,7.0,179553.0,0.38986,joaoamoedonovo
