word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
abalar,1.0,2.0,33411.0,146142.0,0.2993,0.13685,2.18703,0.45724,3.0,179553.0,0.16708,lulapelobrasil
abastecimento,1.0,7.0,33411.0,146142.0,0.2993,0.47899,0.62487,1.60034,8.0,179553.0,0.44555,lulapelobrasil
abc,4.0,8.0,33411.0,146142.0,1.19721,0.54741,2.18703,0.45724,12.0,179553.0,0.66833,lulapelobrasil
abdicar,1.0,1.0,33411.0,146142.0,0.2993,0.06843,4.37407,0.22862,2.0,179553.0,0.11139,lulapelobrasil
abençoado,1.0,1.0,33411.0,146142.0,0.2993,0.06843,4.37407,0.22862,2.0,179553.0,0.11139,lulapelobrasil
abençoe,2.0,3.0,33411.0,146142.0,0.59861,0.20528,2.91605,0.34293,5.0,179553.0,0.27847,lulapelobrasil
abertura,5.0,55.0,33411.0,146142.0,1.49651,3.76346,0.39764,2.51482,60.0,179553.0,3.34163,lulapelobrasil
aborto,4.0,7.0,33411.0,146142.0,1.19721,0.47899,2.49947,0.40009,11.0,179553.0,0.61263,lulapelobrasil
abraçado,1.0,1.0,33411.0,146142.0,0.2993,0.06843,4.37407,0.22862,2.0,179553.0,0.11139,lulapelobrasil
abraçar,1.0,1.0,33411.0,146142.0,0.2993,0.06843,4.37407,0.22862,2.0,179553.0,0.11139,lulapelobrasil
abraço,24.0,136.0,33411.0,146142.0,7.18326,9.30602,0.77189,1.29551,160.0,179553.0,8.91102,lulapelobrasil
abreu,1.0,24.0,33411.0,146142.0,0.2993,1.64224,0.18225,5.48688,25.0,179553.0,1.39235,lulapelobrasil
abril,2.0,36.0,33411.0,146142.0,0.59861,2.46336,0.243,4.11516,38.0,179553.0,2.11637,lulapelobrasil
abrindo,2.0,6.0,33411.0,146142.0,0.59861,0.41056,1.45802,0.68586,8.0,179553.0,0.44555,lulapelobrasil
abrir,2.0,38.0,33411.0,146142.0,0.59861,2.60021,0.23021,4.34378,40.0,179553.0,2.22775,lulapelobrasil
abriram,8.0,2.0,33411.0,146142.0,2.39442,0.13685,17.49627,0.05716,10.0,179553.0,0.55694,lulapelobrasil
abrirem,1.0,1.0,33411.0,146142.0,0.2993,0.06843,4.37407,0.22862,2.0,179553.0,0.11139,lulapelobrasil
abro,2.0,11.0,33411.0,146142.0,0.59861,0.75269,0.79529,1.25741,13.0,179553.0,0.72402,lulapelobrasil
absoluta,1.0,7.0,33411.0,146142.0,0.2993,0.47899,0.62487,1.60034,8.0,179553.0,0.44555,lulapelobrasil
absolveu,1.0,1.0,33411.0,146142.0,0.2993,0.06843,4.37407,0.22862,2.0,179553.0,0.11139,lulapelobrasil
absolvição,2.0,1.0,33411.0,146142.0,0.59861,0.06843,8.74814,0.11431,3.0,179553.0,0.16708,lulapelobrasil
abusivos,1.0,1.0,33411.0,146142.0,0.2993,0.06843,4.37407,0.22862,2.0,179553.0,0.11139,lulapelobrasil
acaba,11.0,110.0,33411.0,146142.0,3.29233,7.52693,0.43741,2.2862,121.0,179553.0,6.73896,lulapelobrasil
acabado,8.0,5.0,33411.0,146142.0,2.39442,0.34213,6.99851,0.14289,13.0,179553.0,0.72402,lulapelobrasil
acabamos,1.0,8.0,33411.0,146142.0,0.2993,0.54741,0.54676,1.82896,9.0,179553.0,0.50124,lulapelobrasil
acabando,7.0,6.0,33411.0,146142.0,2.09512,0.41056,5.10308,0.19596,13.0,179553.0,0.72402,lulapelobrasil
acabar,29.0,112.0,33411.0,146142.0,8.67978,7.66378,1.13257,0.88295,141.0,179553.0,7.85283,lulapelobrasil
acabaram,12.0,3.0,33411.0,146142.0,3.59163,0.20528,17.49627,0.05716,15.0,179553.0,0.83541,lulapelobrasil
acabo,2.0,15.0,33411.0,146142.0,0.59861,1.0264,0.58321,1.71465,17.0,179553.0,0.9468,lulapelobrasil
acabou,5.0,23.0,33411.0,146142.0,1.49651,1.57381,0.95088,1.05165,28.0,179553.0,1.55943,lulapelobrasil
acadêmica,1.0,2.0,33411.0,146142.0,0.2993,0.13685,2.18703,0.45724,3.0,179553.0,0.16708,lulapelobrasil
acampamento,30.0,9.0,33411.0,146142.0,8.97908,0.61584,14.58023,0.06859,39.0,179553.0,2.17206,lulapelobrasil
aceita,3.0,10.0,33411.0,146142.0,0.89791,0.68427,1.31222,0.76207,13.0,179553.0,0.72402,lulapelobrasil
aceitam,5.0,4.0,33411.0,146142.0,1.49651,0.27371,5.46759,0.1829,9.0,179553.0,0.50124,lulapelobrasil
aceitamos,2.0,1.0,33411.0,146142.0,0.59861,0.06843,8.74814,0.11431,3.0,179553.0,0.16708,lulapelobrasil
aceitar,10.0,14.0,33411.0,146142.0,2.99303,0.95797,3.12433,0.32007,24.0,179553.0,1.33665,lulapelobrasil
aceitaram,5.0,1.0,33411.0,146142.0,1.49651,0.06843,21.87034,0.04572,6.0,179553.0,0.33416,lulapelobrasil
aceitei,5.0,2.0,33411.0,146142.0,1.49651,0.13685,10.93517,0.09145,7.0,179553.0,0.38986,lulapelobrasil
aceito,11.0,3.0,33411.0,146142.0,3.29233,0.20528,16.03825,0.06235,14.0,179553.0,0.77971,lulapelobrasil
aceitou,9.0,2.0,33411.0,146142.0,2.69372,0.13685,19.68331,0.0508,11.0,179553.0,0.61263,lulapelobrasil
acendeu,1.0,1.0,33411.0,146142.0,0.2993,0.06843,4.37407,0.22862,2.0,179553.0,0.11139,lulapelobrasil
acerta,2.0,2.0,33411.0,146142.0,0.59861,0.13685,4.37407,0.22862,4.0,179553.0,0.22278,lulapelobrasil
