word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all
abaixo,5.0,23.0,12571.0,110488.0,0.0004,0.00021,1.91068,0.52337,28.0,123059.0,2.27533
abandonou,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
aberto,1.0,17.0,12571.0,110488.0,8e-05,0.00015,0.51701,1.93421,18.0,123059.0,1.46271
abertos,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
abertura,1.0,45.0,12571.0,110488.0,8e-05,0.00041,0.19531,5.11997,46.0,123059.0,3.73804
aborto,2.0,9.0,12571.0,110488.0,0.00016,8e-05,1.95314,0.512,11.0,123059.0,0.89388
abraço,8.0,134.0,12571.0,110488.0,0.00064,0.00121,0.52472,1.90577,142.0,123059.0,11.53918
abre,1.0,12.0,12571.0,110488.0,8e-05,0.00011,0.73243,1.36532,13.0,123059.0,1.0564
abril,2.0,9.0,12571.0,110488.0,0.00016,8e-05,1.95314,0.512,11.0,123059.0,0.89388
abrir,2.0,31.0,12571.0,110488.0,0.00016,0.00028,0.56704,1.76354,33.0,123059.0,2.68164
abrirem,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
abro,1.0,11.0,12571.0,110488.0,8e-05,0.0001,0.79901,1.25155,12.0,123059.0,0.97514
absolutamente,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
absurda,2.0,7.0,12571.0,110488.0,0.00016,6e-05,2.51118,0.39822,9.0,123059.0,0.73136
absurdo,2.0,44.0,12571.0,110488.0,0.00016,0.0004,0.39951,2.5031,46.0,123059.0,3.73804
acaba,3.0,94.0,12571.0,110488.0,0.00024,0.00085,0.2805,3.56501,97.0,123059.0,7.8824
acabam,2.0,7.0,12571.0,110488.0,0.00016,6e-05,2.51118,0.39822,9.0,123059.0,0.73136
acabando,1.0,11.0,12571.0,110488.0,8e-05,0.0001,0.79901,1.25155,12.0,123059.0,0.97514
acabar,5.0,113.0,12571.0,110488.0,0.0004,0.00102,0.3889,2.57136,118.0,123059.0,9.5889
acabo,3.0,13.0,12571.0,110488.0,0.00024,0.00012,2.02826,0.49303,16.0,123059.0,1.30019
acabou,2.0,17.0,12571.0,110488.0,0.00016,0.00015,1.03401,0.96711,19.0,123059.0,1.54397
academia,4.0,3.0,12571.0,110488.0,0.00032,3e-05,11.71882,0.08533,7.0,123059.0,0.56883
acadêmico,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
acadêmicos,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
acampamento,2.0,6.0,12571.0,110488.0,0.00016,5e-05,2.92971,0.34133,8.0,123059.0,0.65009
aceita,1.0,11.0,12571.0,110488.0,8e-05,0.0001,0.79901,1.25155,12.0,123059.0,0.97514
aceitar,2.0,16.0,12571.0,110488.0,0.00016,0.00014,1.09864,0.91022,18.0,123059.0,1.46271
aceito,1.0,11.0,12571.0,110488.0,8e-05,0.0001,0.79901,1.25155,12.0,123059.0,0.97514
acelerar,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
acessar,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
