word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all,candidate
abandonar,1.0,2.0,4069.0,175484.0,2.45761,0.11397,21.56353,0.04637,3.0,179553.0,0.16708,meirelles
abençoado,1.0,1.0,4069.0,175484.0,2.45761,0.05699,43.12706,0.02319,2.0,179553.0,0.11139,meirelles
abertura,2.0,58.0,4069.0,175484.0,4.91521,3.30514,1.48714,0.67243,60.0,179553.0,3.34163,meirelles
abrange,1.0,1.0,4069.0,175484.0,2.45761,0.05699,43.12706,0.02319,2.0,179553.0,0.11139,meirelles
abraçar,1.0,1.0,4069.0,175484.0,2.45761,0.05699,43.12706,0.02319,2.0,179553.0,0.11139,meirelles
abraço,3.0,157.0,4069.0,175484.0,7.37282,8.94668,0.82408,1.21347,160.0,179553.0,8.91102,meirelles
abril,2.0,36.0,4069.0,175484.0,4.91521,2.05147,2.39595,0.41737,38.0,179553.0,2.11637,meirelles
acabam,1.0,12.0,4069.0,175484.0,2.45761,0.68382,3.59392,0.27825,13.0,179553.0,0.72402,meirelles
acabei,1.0,16.0,4069.0,175484.0,2.45761,0.91176,2.69544,0.371,17.0,179553.0,0.9468,meirelles
acabou,1.0,27.0,4069.0,175484.0,2.45761,1.5386,1.5973,0.62606,28.0,179553.0,1.55943,meirelles
acelerar,2.0,3.0,4069.0,175484.0,4.91521,0.17096,28.75137,0.03478,5.0,179553.0,0.27847,meirelles
acesse,1.0,20.0,4069.0,175484.0,2.45761,1.13971,2.15635,0.46375,21.0,179553.0,1.16957,meirelles
acesso,2.0,76.0,4069.0,175484.0,4.91521,4.33088,1.13492,0.88112,78.0,179553.0,4.34412,meirelles
acessível,1.0,2.0,4069.0,175484.0,2.45761,0.11397,21.56353,0.04637,3.0,179553.0,0.16708,meirelles
acic,1.0,1.0,4069.0,175484.0,2.45761,0.05699,43.12706,0.02319,2.0,179553.0,0.11139,meirelles
acolheu,1.0,3.0,4069.0,175484.0,2.45761,0.17096,14.37569,0.06956,4.0,179553.0,0.22278,meirelles
acompanha,1.0,19.0,4069.0,175484.0,2.45761,1.08272,2.26985,0.44056,20.0,179553.0,1.11388,meirelles
acompanhado,1.0,10.0,4069.0,175484.0,2.45761,0.56985,4.31271,0.23187,11.0,179553.0,0.61263,meirelles
acompanhando,1.0,9.0,4069.0,175484.0,2.45761,0.51287,4.7919,0.20869,10.0,179553.0,0.55694,meirelles
acompanhe,9.0,180.0,4069.0,175484.0,22.11846,10.25735,2.15635,0.46375,189.0,179553.0,10.52614,meirelles
acompanhei,1.0,5.0,4069.0,175484.0,2.45761,0.28493,8.62541,0.11594,6.0,179553.0,0.33416,meirelles
acompanhem,1.0,35.0,4069.0,175484.0,2.45761,1.99448,1.2322,0.81156,36.0,179553.0,2.00498,meirelles
acontecendo,1.0,29.0,4069.0,175484.0,2.45761,1.65257,1.48714,0.67243,30.0,179553.0,1.67082,meirelles
aconteceu,2.0,31.0,4069.0,175484.0,4.91521,1.76654,2.78239,0.3594,33.0,179553.0,1.8379,meirelles
acordo,2.0,60.0,4069.0,175484.0,4.91521,3.41912,1.43757,0.69562,62.0,179553.0,3.45302,meirelles
acreditar,1.0,25.0,4069.0,175484.0,2.45761,1.42463,1.72508,0.57968,26.0,179553.0,1.44804,meirelles
acredito,2.0,69.0,4069.0,175484.0,4.91521,3.93198,1.25006,0.79996,71.0,179553.0,3.95426,meirelles
acumulado,2.0,1.0,4069.0,175484.0,4.91521,0.05699,86.25412,0.01159,3.0,179553.0,0.16708,meirelles
admiração,1.0,2.0,4069.0,175484.0,2.45761,0.11397,21.56353,0.04637,3.0,179553.0,0.16708,meirelles
